generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,2,0
3000,2,3,1
4000,2,3,0
5000,3,4,1
6000,1,4,1
7000,1,3,1
8000,1,2,1
9000,1,4,1
10000,3,4,1
11000,1,4,1
12000,2,3,1
13000,2,4,1
14000,1,2,1
15000,3,4,1
16000,2,4,1
17000,2,4,1
18000,2,3,1
19000,1,4,1
20000,1,4,0
21000,1,2,1
22000,2,3,0
23000,2,4,1
24000,2,4,1
25000,2,3,1
26000,1,2,0
27000,1,4,1
28000,1,4,1
29000,2,4,1
30000,1,3,1
31000,1,2,1
32000,1,4,1
33000,1,4,1
34000,1,2,1
35000,1,4,1
36000,2,4,1
37000,3,4,1
38000,2,3,1
39000,3,4,1
40000,2,4,1
