generation,leftchild,rightchild,abstime,betainit,betashift
0,Nyctanolis_pernix,Andrias_japonicus,0,0.5,0
1000,Nyctanolis_pernix,Andrias_japonicus,0,0.108277,0
1000,Proteus_anguinus,NA,116.566,0.00114319,-0.000577933
1000,Nyctanolis_pernix,Proteus_anguinus,37.1601,0.0193492,-0.0122514
1000,Paramesotriton_hongkongensis,Ambystoma_mexicanum,44.681,0.0212421,-0.00189572
2000,Nyctanolis_pernix,Andrias_japonicus,0,0.059414,0
2000,Hemidactylium_scutatum,NA,146.478,0.00316259,0.00432257
2000,Nyctanolis_pernix,Proteus_anguinus,37.1601,0.0141841,-0.0122514
2000,Notophthalmus_viridescens,NA,130.592,0.019067,0.00897118
2000,Paramesotriton_hongkongensis,Salamandra_salamandra,85.5725,0.00384505,0.01119
2000,Paramesotriton_hongkongensis,Ambystoma_mexicanum,42.8488,0.0222241,-0.00189572
2000,Andrias_japonicus,NA,42.0107,0.0101645,0.00510324
2000,Andrias_japonicus,NA,78.2154,0.00418251,0.0150748
2000,Andrias_japonicus,NA,94.9771,0.0172553,0.0088518
3000,Nyctanolis_pernix,Andrias_japonicus,0,0.0221733,0
3000,Gyrinophilus_porphyriticus,Eurycea_lucifuga,122.198,0.0137488,-0.00252524
3000,Nyctanolis_pernix,Proteus_anguinus,35.5642,0.0232867,-0.0122514
3000,Necturus_maculosus,NA,91.646,0.0188547,0.0088518
4000,Nyctanolis_pernix,Andrias_japonicus,0,0.00862567,0
4000,Nyctanolis_pernix,Desmognathus_fuscus,96.5041,0.00470943,0.0152669
5000,Nyctanolis_pernix,Andrias_japonicus,0,0.00848299,0
5000,Nyctanolis_pernix,NA,154.632,0.00183254,-0.00388979
5000,Plethodon_jordani,NA,144.085,0.0230552,0.0121786
5000,Nyctanolis_pernix,Rhyacotriton_olympicus,45.4127,0.0100424,0.00300112
5000,Proteus_anguinus,NA,113.054,0.0142916,-0.0181036
6000,Nyctanolis_pernix,Andrias_japonicus,0,0.00340477,0
7000,Nyctanolis_pernix,Andrias_japonicus,0,0.0260642,-0.0209382
7000,Desmognathus_fuscus,Karsenia_koreana,112.811,0.0148472,-0.000821565
8000,Nyctanolis_pernix,Andrias_japonicus,0,0.00274479,0
9000,Nyctanolis_pernix,Andrias_japonicus,0,0.00320169,0
9000,Desmognathus_fuscus,NA,141.07,0.0224387,0.00263976
10000,Nyctanolis_pernix,Andrias_japonicus,0,0.0019478,0
11000,Nyctanolis_pernix,Andrias_japonicus,0,0.00469946,0
12000,Nyctanolis_pernix,Andrias_japonicus,0,0.00229716,0
13000,Nyctanolis_pernix,Andrias_japonicus,0,0.00353366,0
14000,Nyctanolis_pernix,Andrias_japonicus,0,0.00294028,0
14000,Rhyacotriton_olympicus,NA,88.9677,0.0247588,-0.00688135
15000,Nyctanolis_pernix,Andrias_japonicus,0,0.0038765,0
16000,Nyctanolis_pernix,Andrias_japonicus,0,0.00325631,0
17000,Nyctanolis_pernix,Andrias_japonicus,0,0.00330908,0
17000,Proteus_anguinus,Necturus_maculosus,45.8107,0.00772154,0.00734171
18000,Nyctanolis_pernix,Andrias_japonicus,0,0.00258318,0
18000,Rhyacotriton_olympicus,NA,132.174,0.0178075,0.00849374
18000,Necturus_maculosus,NA,143.59,0.0400455,0.00271202
19000,Nyctanolis_pernix,Andrias_japonicus,0,0.0116364,-0.0209382
19000,Nyctanolis_pernix,Proteus_anguinus,37.9818,0.00618847,-0.00568285
19000,Paramesotriton_hongkongensis,NA,142.265,0.00668286,0.0128408
19000,Paramesotriton_hongkongensis,Notophthalmus_viridescens,116.511,8.51412e-05,-0.00404762
19000,Salamandrina_terdigitata,NA,132.324,0.0126794,-0.00238087
19000,Siren_intermedia,NA,151.883,0.00139556,-0.00472849
