generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-32.5086,-87.8145,1,0
100,3,2.2353,-73.3787,1,0.87
200,2,-5.49289,-62.1288,0.61012,0.84
300,3,-1.98861,-64.6233,2.85242,0.84
400,4,15.1807,-56.7174,0.693945,0.83
500,1,-0.657301,-62.1071,0.883136,0.822
600,2,7.61293,-61.6504,0.883136,0.811667
700,2,8.1826,-61.4008,0.883136,0.797143
800,2,9.2688,-53.6986,1.34719,0.77875
900,1,3.63986,-48.9911,2.11719,0.776667
1000,3,16.0477,-26.1928,4.0686,0.69031
1100,4,26.4338,-31.2529,3.68998,0.64
1200,4,24.667,-26.9997,1.23267,0.665
1300,4,23.4798,-27.4563,3.28999,0.64
1400,6,33.8696,-21.1145,5.97128,0.62
1500,9,49.997,-24.595,5.97128,0.63
1600,9,51.4728,-25.4003,4.33966,0.623333
1700,11,67.5161,-24.1325,3.61196,0.615714
1800,11,68.8194,-17.3767,3.61196,0.6075
1900,9,59.306,-14.8574,3.61196,0.61
2000,8,52.8623,-21.3552,3.61196,0.601
2100,8,54.8607,-18.3684,3.61196,0.6
2200,6,39.8077,-21.0918,4.85336,0.59
2300,8,57.2863,-17.7446,3.61297,0.6
2400,7,50.7053,-21.0083,3.01216,0.585
2500,5,39.1402,-22.3151,1.13299,0.56
2600,5,34.1408,-26.3186,3.30403,0.58
2700,4,26.8674,-25.4354,2.39942,0.585714
2800,4,24.611,-25.0862,2.08872,0.59875
2900,3,20.1363,-22.9753,2.08872,0.604444
3000,3,23.4794,-25.2704,1.60557,0.607
3100,2,17.551,-25.0807,0.563777,0.65
3200,1,9.31553,-32.7056,1.87025,0.625
3300,1,12.8631,-27.3836,0.188501,0.633333
3400,0,6.60635,-29.2834,0.420242,0.6325
3500,0,7.52986,-22.351,0.11804,0.608
3600,0,7.28743,-25.9781,0.273292,0.591667
3700,0,6.9783,-17.1519,0.624004,0.597143
3800,0,7.19418,-13.0779,0.507346,0.59375
3900,1,12.565,-13.1414,1.01987,0.584444
4000,1,12.7614,-11.0197,0.725764,0.577
4100,0,7.60512,-10.8473,0.217591,0.43
4200,1,13.9315,-17.7326,0.448599,0.53
4300,3,25.4045,-13.3302,2.58056,0.546667
4400,3,23.1038,-12.6225,5.18838,0.5425
4500,3,23.5681,-7.72659,5.40911,0.528
4600,1,13.7367,-8.00597,1.91014,0.521667
4700,1,15.005,-7.01842,0.485244,0.531429
4800,2,21.9078,-12.7999,0.742575,0.52625
4900,4,29.853,-19.1972,1.64472,0.535556
5000,4,29.3699,-20.8377,3.19231,0.539
5100,8,59.7442,-16.9187,3.19231,0.57
5200,8,57.7349,-21.4666,5.41503,0.575
5300,6,44.992,-15.8352,3.15305,0.566667
5400,7,53.7589,-16.9911,3.15305,0.555
5500,4,30.3101,-8.5808,3.15305,0.54
5600,5,35.4054,-9.15057,3.15305,0.531667
5700,4,33.4409,-14.799,3.83714,0.527143
5800,2,21.8282,-16.6459,1.19024,0.525
5900,1,14.9366,-3.77549,0.306283,0.523333
6000,0,7.47585,2.09782,0.642286,0.577333
6100,0,7.43427,2.83146,0.702952,0.32
6200,0,7.63453,2.26552,0.555361,0.385
6300,0,7.57992,5.21986,0.555361,0.386667
6400,1,15.1057,-1.01536,0.353299,0.38
6500,1,14.6082,2.84374,0.396291,0.394
6600,1,14.0906,-4.47723,0.689142,0.4
6700,0,7.47013,-3.43117,0.689142,0.414286
6800,0,7.42998,-0.167511,0.777801,0.41875
6900,0,7.29518,-4.02944,0.767243,0.42
7000,1,8.83448,-2.95929,0.482632,0.475075
7100,1,9.55443,0.47482,0.482632,0.43
7200,1,9.49292,4.28828,0.630342,0.46
7300,2,14.1039,2.14811,3.57155,0.44
7400,1,8.78633,5.06197,1.73364,0.445
7500,1,8.60501,3.08388,1.78772,0.438
7600,2,15.7307,-2.23043,0.707575,0.453333
7700,2,16.0512,0.360735,0.707575,0.458571
7800,2,15.7541,4.70581,1.51234,0.465
