generation,leftchild,rightchild,abstime,betainit,betashift
0,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.5,0
1000,Mantidactylus_lugubris,Dermophis_mexicanus,0,1.0551,1.06288
1000,Hymenochirus_boettgeri,NA,0.270618,2823.56,1.87129
1000,Rhinophrynus_dorsalis,NA,0.236414,8340.76,2.02607
1000,Mantidactylus_lugubris,Discoglossus_pictus,0.090987,340.358,-4.51829
1000,Mantidactylus_lugubris,Leiopelma_hochstetteri,0.0698523,5999.38,-8.42129
1000,Siren_intermedia,NA,0.233676,247.841,-4.75479
1000,Dermophis_mexicanus,Grandisonia_alternans,0.244598,4985.22,0.6477
1000,Dermophis_mexicanus,Boulengerula_taitana,0.150587,4325.91,4.22387
2000,Mantidactylus_lugubris,Dermophis_mexicanus,0,1.45038,4.73522
2000,Mantidactylus_lugubris,NA,0.286964,15.4936,4.17127
2000,Sooglossus_sechellensis,NA,0.228529,2675.7,0.00269273
2000,Mantidactylus_lugubris,Discoglossus_pictus,0.090987,197.97,-3.19003
2000,Mantidactylus_lugubris,Leiopelma_hochstetteri,0.0606327,14414.8,-7.82472
2000,Proteus_anguinus,Necturus_maculosus,0.221509,7834.65,3.01309
2000,Ambystoma_mexicanum,Ambystoma_talpoideum,0.204004,658.515,-5.82892
2000,Siren_intermedia,NA,0.22804,221.94,-3.93361
2000,Dermophis_mexicanus,Geotrypetes_seraphini,0.24866,3532.05,1.97124
2000,Dermophis_mexicanus,Boulengerula_taitana,0.148199,5993.28,1.76651
3000,Mantidactylus_lugubris,Dermophis_mexicanus,0,1.45038,7.15737
3000,Cardioglossa_leucomystax,NA,0.248237,6249.79,-3.53883
3000,Mannophryne_trinitatis,NA,0.281026,3487.66,-2.99829
3000,Mantidactylus_lugubris,Discoglossus_pictus,0.0948735,218.977,-6.98507
3000,Mantidactylus_lugubris,Leiopelma_hochstetteri,0.0606327,19113.8,-3.09937
3000,Desmognathus_fuscus,Karsenia_koreana,0.262324,11170.5,-0.967528
3000,Proteus_anguinus,Necturus_maculosus,0.206275,18382.3,2.16642
3000,Ambystoma_mexicanum,Ambystoma_talpoideum,0.221755,599.186,-8.08973
3000,Nyctanolis_pernix,Siren_intermedia,0.149029,2900.15,-0.44467
3000,Boulengerula_taitana,NA,0.293461,199.608,-2.65502
