generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.87132,-474.31,1,0
200,1,4.47391,-395.923,0.618077,0.285
400,0,1.79124,-381.164,0.905216,0.275
600,2,3.78993,-369.163,2.51543,0.273333
800,3,5.96968,-376.863,3.82441,0.2825
1000,1,3.89605,-376.958,0.292308,0.287
1200,0,1.62809,-371.193,1.05735,0.365
1400,1,4.19889,-372.164,0.693854,0.2975
1600,1,2.75034,-374.73,1.8001,0.28
1800,0,2.40723,-375.158,0.303347,0.26
2000,2,6.46753,-372.615,0.819023,0.27936
2200,0,1.50858,-371.289,1.22116,0.315
2400,0,1.55554,-363.79,1.19323,0.2975
2600,3,3.51151,-362.793,1.7481,0.281667
2800,0,2.3188,-370.186,0.433751,0.27125
3000,0,2.15342,-364.986,0.61979,0.272909
3200,0,2.66891,-363.141,0.113623,0.245
3400,0,2.70996,-369.113,0.0421446,0.235
3600,2,2.43464,-364.856,0.5057,0.24
3800,4,4.4357,-376.101,1.9828,0.25125
4000,4,7.42588,-360.828,2.54918,0.262684
4200,3,6.72244,-355.893,2.54918,0.185
4400,2,4.63104,-356.766,2.5049,0.24
4600,2,3.60963,-342.307,2.87829,0.236667
4800,4,7.3656,-339.2,2.08921,0.24
5000,3,3.38439,-340.906,2.74351,0.245
5200,2,1.52274,-332.154,2.74351,0.13
5400,2,2.67439,-324.136,0.76503,0.1825
5600,2,2.79406,-329.754,2.14775,0.18
5800,5,7.65039,-328.983,1.91042,0.1875
6000,2,2.44507,-353.48,1.55555,0.238
6200,2,4.70449,-358.042,2.02577,0.195
6400,2,4.20533,-359.941,1.33348,0.23
6600,1,3.7527,-366.136,0.510439,0.241667
6800,1,2.26437,-359.617,0.16453,0.23875
7000,1,-1.67743,-352.217,1.37712,0.233
7200,2,0.264383,-348.968,1.4407,0.265
7400,1,-2.36177,-351.844,0.631456,0.2325
7600,1,-2.57029,-352.598,0.856267,0.24
7800,1,0.716313,-349.531,0.218878,0.24
8000,2,5.46882,-354.017,0.443315,0.227
8200,2,3.49247,-350.911,2.31355,0.265
8400,1,3.26544,-348.612,0.993047,0.2825
8600,2,7.26126,-343.114,0.294894,0.27
8800,1,1.72795,-346.91,1.26065,0.25
9000,1,2.26364,-346.385,0.73411,0.255
9200,2,6.07112,-352.04,0.656995,0.23
9400,3,6.57907,-351.562,2.07398,0.2425
9600,3,6.43453,-351.835,1.22191,0.261667
9800,4,9.2091,-352.458,1.8187,0.2525
10000,3,8.6764,-323.565,1.3018,0.2146
10200,1,3.93115,-330.751,0.949629,0.265
10400,4,8.46678,-330.084,1.9657,0.2575
10600,5,10.0176,-329.734,2.54597,0.263333
10800,4,7.73738,-331.634,2.89832,0.26125
11000,1,4.93931,-357.249,0.539973,0.25
11200,1,2.61634,-359.428,0.655798,0.255
11400,2,2.92213,-353.913,3.26542,0.255
11600,4,5.677,-351.432,3.11837,0.256667
11800,6,6.34857,-348.808,3.62475,0.265
12000,1,3.84735,-298.089,1.29619,0.239636
12200,1,4.33953,-291.456,1.21278,0.29
12400,1,4.64045,-293.59,0.772182,0.21
12600,1,3.92237,-292.769,1.45948,0.205
12800,1,4.33588,-295.023,1.20442,0.2025
13000,2,4.36545,-292.544,1.46757,0.196
13200,1,4.38029,-294.966,1.01857,0.215
13400,1,4.50808,-298.208,0.758158,0.22
13600,1,4.14927,-299.716,0.985981,0.225
13800,1,5.05855,-300.781,0.171643,0.21875
14000,1,4.98055,-310.309,0.229588,0.243
14200,1,4.83284,-309.14,0.621221,0.23
14400,2,7.45247,-311.079,0.8459,0.245
14600,2,7.69356,-310.107,0.617648,0.235
14800,1,3.76841,-309.742,1.56727,0.225
15000,3,7.39155,-316.23,1.92273,0.226
15200,2,1.61958,-310.106,2.21677,0.2
15400,1,4.66645,-309.532,0.628554,0.22
15600,3,8.82749,-308.938,1.08566,0.21
15800,2,5.6002,-301.132,0.848653,0.22625
16000,2,5.9671,-296.546,2.10461,0.219
16200,1,4.49641,-297.985,1.077,0.2
16400,1,4.72941,-306.88,0.801749,0.2025
16600,1,4.7984,-309.744,0.67619,0.191667
16800,1,4.70481,-299.038,0.678019,0.19125
17000,1,4.47684,-312.102,0.781073,0.2408
17200,1,2.76379,-311.681,2.34612,0.3
17400,2,2.20576,-313.238,1.19545,0.2775
17600,3,1.35265,-307.955,4.12526,0.253333
17800,5,5.68762,-304.222,4.32118,0.23875
18000,2,4.41866,-310.627,3.15035,0.236
18200,1,4.48369,-319.096,0.459936,0.315
18400,1,4.09277,-306.901,1.15936,0.27
18600,1,4.15531,-311.887,1.15936,0.251667
18800,1,4.45262,-319.395,0.871903,0.24125
19000,1,4.59134,-298.428,0.962,0.203
19200,1,5.08735,-294.562,0.465993,0.19
19400,1,3.2234,-297.209,2.33736,0.1675
19600,1,4.43919,-301.989,1.07075,0.168333
19800,2,4.3884,-299.122,2.72658,0.17375
