generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-12.1221,-369369,1,0
200,2,-37.4934,-116615,1.10192,0.18
400,5,-77.5889,-66941.9,5.00954,0.21
600,6,-88.4758,-52908.1,4.18466,0.208333
800,5,-75.5826,-52870.5,4.18466,0.19875
1000,7,-102.726,-34067.4,5.20961,0.202
1200,7,-103.842,-33013.6,3.74652,0.17
1400,7,-107.074,-23745.4,6.53871,0.175
1600,7,-105.271,-19267.3,4.70282,0.175
1800,7,-104.159,-17777.7,4.70282,0.185
2000,9,-126.825,-13634.7,4.66286,0.195902
2200,10,-137.651,-13350.6,2.53424,0.205
2400,12,-168.714,-6211.77,9.03736,0.225
2600,10,-140.843,-6073.55,4.69883,0.213333
2800,13,-177.872,-5855.29,5.31343,0.20375
3000,11,-159.329,-356.414,8.88207,0.1985
3200,10,-142.276,-306.8,5.03289,0.26
3400,10,-143.195,-304.141,5.03289,0.215
3600,11,-158.702,-305.953,5.03289,0.226667
3800,10,-143.564,-305.203,4.11408,0.2325
4000,10,-144.92,-299.219,6.12072,0.2255
4200,9,-131.804,-296.695,5.6509,0.24
4400,11,-163.079,-297.325,5.79647,0.25
4600,11,-157.48,-298.287,4.61692,0.235
4800,11,-161.307,-296.011,6.21709,0.22875
5000,11,-158.924,-283.461,5.00385,0.2315
5200,9,-134.828,-285.234,5.00385,0.21
5400,10,-147.206,-287.225,3.15626,0.2125
5600,10,-145.234,-289.058,4.81183,0.231667
5800,11,-157.82,-292.245,4.81183,0.23125
6000,7,-106.653,-297.01,4.81183,0.237
6200,7,-102.573,-292.196,1.5431,0.23
6400,7,-106.239,-291.046,5.44242,0.215
6600,7,-102.419,-296.917,1.50768,0.228333
6800,6,-93.1515,-295.675,4.4957,0.2375
7000,6,-91.3861,-297.177,3.58941,0.23
7200,8,-117.906,-295.219,4.04532,0.26
7400,9,-137.317,-303.901,8.54612,0.255
7600,10,-145.005,-302.299,3.86188,0.243333
7800,8,-118.395,-295.148,4.16801,0.2325
8000,7,-102.108,-287.343,1.5212,0.231
8200,8,-116.741,-285.247,5.06101,0.255
8400,6,-90.6231,-286.593,5.06101,0.2625
8600,6,-87.4589,-286.174,1.51517,0.246667
8800,7,-101.44,-286.12,4.20128,0.2475
9000,6,-90.8625,-289.38,4.20128,0.257
9200,6,-90.0817,-287.172,4.21013,0.22
9400,6,-91.9848,-294.276,4.21013,0.22
9600,6,-91.0834,-292.183,1.66421,0.231667
9800,7,-103.545,-292.558,3.27286,0.235
10000,10,-149.353,-295.917,6.5111,0.234877
10200,9,-135.778,-293.972,6.5111,0.26
10400,7,-105.458,-292.992,3.3894,0.26
10600,6,-92.9432,-290.315,3.77268,0.266667
10800,5,-80.4025,-299.116,3.81347,0.25375
11000,6,-96.186,-294.912,3.81347,0.25
11200,5,-83.353,-291.205,4.58512,0.225
11400,5,-81.2182,-292.159,2.88665,0.23
11600,4,-64.4137,-295.675,2.89451,0.233333
11800,4,-65.4311,-293.031,2.89451,0.22875
12000,5,-79.8456,-290.908,2.89451,0.225
12200,5,-83.4651,-297.091,6.18194,0.24
12400,6,-94.5628,-295.19,4.98115,0.235
12600,4,-67.1382,-298.949,3.46255,0.238333
12800,6,-88.8704,-295.735,2.63175,0.25125
13000,6,-87.9706,-304.387,2.97811,0.243
13200,8,-111.338,-297.234,2.23038,0.265
13400,8,-118.761,-303.317,3.12198,0.2525
13600,10,-141.356,-305.957,3.43662,0.271667
13800,8,-114.088,-307.736,3.21198,0.26875
14000,7,-102.095,-311.785,3.32776,0.28
14200,4,-64.2567,-307.294,2.27443,0.3
14400,4,-63.6398,-308.717,0.987646,0.275
14600,5,-79.3382,-308.034,4.06088,0.275
14800,5,-76.948,-305.276,4.54958,0.2725
15000,5,-73.8691,-305.857,1.56536,0.269
15200,5,-73.9431,-296.375,1.22812,0.275
15400,5,-78.3637,-303.805,3.1647,0.2725
15600,4,-63.1869,-295.493,1.70319,0.266667
15800,4,-62.1788,-301.051,1.70319,0.26125
16000,4,-62.0976,-304.955,1.17833,0.252
16200,5,-74.3609,-299.757,1.17102,0.22
16400,6,-95.4755,-298.055,6.33325,0.2275
16600,6,-90.0873,-299.243,5.29858,0.24
16800,5,-77.3922,-306.478,3.60248,0.23625
17000,6,-91.0258,-295.76,6.31653,0.24
17200,8,-112.46,-290.308,2.45118,0.2
17400,8,-115.174,-291.046,5.18923,0.19
17600,7,-103.207,-289.491,4.15665,0.196667
17800,5,-75.6787,-293.755,2.46992,0.2175
18000,7,-100.743,-292.221,5.43526,0.224
18200,7,-102.712,-293.242,6.09884,0.29
18400,9,-129.225,-292.535,7.03349,0.27
18600,7,-103.953,-290.638,6.85901,0.263333
18800,5,-76.251,-292.079,2.14665,0.25625
19000,4,-61.7556,-294.557,2.41065,0.262
19200,9,-126.299,-303.842,7.34099,0.325
19400,12,-158.163,-297.286,4.93167,0.3
19600,11,-151.265,-291.993,8.67668,0.266667
19800,10,-134.052,-293.929,2.60655,0.265
