"Species","Mean","Median","Diploid.number","Fundamental.number"
"Alytes obstetricans","9.187","9.780",38,NA
"Discoglossus pictus","5.167","5.250",28,54
"Allobates femoralis","7.110","7.110",24,48
"Mannophryne trinitatis","2.980","2.980",24,48
"Mannophryne trinitatis","2.980","2.980",24,NA
"Astylosternus diadematus","4.270","4.708",54,68
"Cardioglossa leucomystax","3.154","3.154",18,32
"Leptopelis vermiculatus","3.098","3.098",24,46
"Batrachyla taeniata","2.590","2.590",26,50
"Anaxyrus terrestris","5.000","5.450",22,44
"Fejervarya limnocharis","4.150","4.150",26,52
"Fejervarya limnocharis","4.150","4.150",26,NA
"Fejervarya limnocharis","4.150","4.150",26,52
"Hoplobatrachus rugulosus","3.095","3.095",26,52
"Hemisus marmoratus","4.011","3.901",24,46
"Dendropsophus microcephalus","2.850","2.850",30,NA
"Dendropsophus microcephalus","2.850","2.850",30,NA
"Dendropsophus microcephalus","2.850","2.850",30,60
"Pseudacris nigrita","4.050","4.050",24,48
"Pseudis paradoxa","1.540","1.540",24,48
"Kassina senegalensis","4.470","4.470",24,48
"Leiopelma hochstetteri","8.630","8.630",22,32
"Leptodactylus fuscus","2.650","2.650",22,44
"Pleurodema bibroni","2.560","2.560",22,NA
"Pleurodema bibroni","2.560","2.560",44,88
"Limnodynastes dumerilii","3.250","3.250",22,44
"Neobatrachus sudelli","2.615","2.615",24,48
"Neobatrachus sudelli","2.615","2.615",48,96
"Neobatrachus sudelli","2.615","2.615",48,NA
"Aglyptodactylus madagascariensis","3.050","3.050",26,52
"Mantella betsileo","5.300","5.300",26,52
"Mantidactylus lugubris","5.250","5.250",26,50
"Dermatonotus muelleri","1.540","1.540",22,42
"Gastrophryne carolinensis","4.650","4.870",22,42
"Microhyla ornata","5.150","5.150",26,52
"Microhyla ornata","5.150","5.150",24,NA
"Plethodontohyla notosticta","5.050","5.050",26,48
"Crinia signifera","2.120","2.120",24,48
"Odontophrynus occidentalis","1.580","1.580",22,44
"Pelobates syriacus","4.033","3.960",26,52
"Hymenochirus boettgeri","4.025","4.013",24,NA
"Pipa pipa","2.430","2.430",22,30
"Xenopus tropicalis","1.723","1.740",20,40
"Xenopus tropicalis","1.723","1.740",NA,NA
"Xenopus tropicalis","1.723","1.740",NA,NA
"Xenopus tropicalis","1.723","1.740",30,NA
"Ptychadena mascareniensis","3.350","3.350",24,48
"Pyxicephalus adspersus","1.400","1.400",26,48
"Pelophylax ridibundus","7.236","7.660",26,52
"Sylvirana nigrovittata","4.900","4.900",24,48
"Sylvirana nigrovittata","4.900","4.900",26,52
"Buergeria oxycephala","1.637","1.637",26,52
"Rhinophrynus dorsalis","4.790","4.790",22,NA
"Scaphiopus couchii","1.483","1.644",26,52
"Spea hammondii","1.625","1.445",26,52
"Sooglossus sechellensis","1.809","1.635",26,44
"Ambystoma mexicanum","34.750","35.500",28,56
"Ambystoma opacum","30.692","32.050",28,56
"Ambystoma talpoideum","29.710","30.750",28,56
"Ambystoma tigrinum","31.570","27.600",28,56
"Andrias davidianus","50.000","50.000",60,74
"Andrias japonicus","46.490","46.490",60,74
"Cryptobranchus alleganiensis","55.000","55.000",60,74
"Cryptobranchus alleganiensis","55.000","55.000",60,74
"Salamandrella keyserlingii","24.620","24.620",62,76
"Salamandrella keyserlingii","24.620","24.620",62,78
"Salamandrella keyserlingii","24.620","24.620",62,104
"Salamandrella keyserlingii","24.620","24.620",62,94
"Aneides flavipunctatus","44.767","45.400",28,56
"Desmognathus fuscus","16.166","15.130",28,56
"Eurycea lucifuga","20.775","20.775",28,56
"Gyrinophilus porphyriticus","20.785","22.230",28,56
"Hemidactylium scutatum","32.450","32.450",28,56
"Karsenia koreana","52.100","52.100",28,56
"Nyctanolis pernix","28.000","28.000",26,NA
"Plethodon jordani","28.967","27.800",28,56
"Pseudotriton ruber","25.035","24.650",28,56
"Necturus maculosus","85.957","82.550",38,64
"Proteus anguinus","49.395","48.840",38,68
"Rhyacotriton olympicus","66.600","66.600",26,52
"Lissotriton vulgaris","26.857","27.420",24,48
"Lissotriton vulgaris","26.857","27.420",24,48
"Neurergus crocatus","34.970","34.970",24,48
"Notophthalmus viridescens","37.739","38.000",22,NA
"Paramesotriton hongkongensis","51.000","51.000",24,NA
"Salamandra salamandra","35.235","35.335",24,48
"Salamandrina terdigitata","20.600","20.600",24,48
"Siren intermedia","54.513","54.000",46,90
"Dermophis mexicanus","7.895","7.895",26,44
"Geotrypetes seraphini","5.304","5.394",38,58
"Gymnopis multiplicata","3.700","3.700",26,44
"Gymnopis multiplicata","3.700","3.700",24,44
"Boulengerula taitana","2.940","2.940",34,52
"Grandisonia alternans","6.404","6.664",26,52
