generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,4,1
3000,1,4,1
4000,1,4,1
5000,1,2,1
6000,1,2,1
7000,1,4,0
8000,2,4,0
9000,1,4,1
10000,2,4,1
11000,1,3,1
12000,2,3,1
13000,1,4,1
14000,2,3,1
15000,2,3,1
16000,2,3,1
17000,2,4,1
18000,2,3,1
19000,3,4,1
20000,2,3,1
21000,1,4,1
22000,2,4,1
23000,1,2,1
24000,1,3,1
25000,1,4,1
26000,1,3,1
27000,2,4,1
28000,1,4,1
29000,2,3,1
30000,2,3,0
31000,2,4,1
32000,2,4,1
33000,3,4,1
34000,1,4,1
35000,1,3,1
36000,2,3,1
37000,2,4,1
38000,3,4,1
39000,1,2,1
40000,2,3,1
