generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,3,4,1
3000,1,4,1
4000,3,4,1
5000,1,3,1
6000,2,3,1
7000,2,4,1
8000,3,4,1
9000,2,4,0
10000,1,2,1
11000,3,4,1
12000,2,4,1
13000,2,3,1
14000,1,3,0
15000,1,3,1
16000,2,4,1
17000,2,4,1
18000,1,4,0
19000,1,2,0
20000,3,4,1
21000,3,4,1
22000,2,4,0
23000,1,2,1
24000,1,4,0
25000,3,4,1
26000,1,4,1
27000,3,4,1
28000,3,4,1
29000,2,3,1
30000,2,4,1
31000,2,4,0
32000,1,3,0
33000,1,4,0
34000,1,2,1
35000,1,4,1
36000,1,4,0
37000,1,4,1
38000,2,3,1
39000,3,4,1
40000,3,4,1
