generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,3,1
3000,2,4,0
4000,1,2,0
5000,2,4,0
6000,3,4,1
7000,1,4,0
8000,1,4,1
9000,3,4,1
10000,1,4,1
11000,3,4,1
12000,1,2,1
13000,3,4,1
14000,2,3,1
15000,2,4,1
16000,3,4,0
17000,1,3,1
18000,3,4,1
19000,2,4,1
20000,1,3,1
21000,2,3,1
22000,1,4,1
23000,1,2,1
24000,2,4,1
25000,1,4,0
26000,1,3,1
27000,3,4,1
28000,2,4,1
29000,3,4,1
30000,2,4,1
31000,2,3,1
32000,1,3,1
33000,1,2,1
34000,2,3,1
35000,2,3,1
36000,3,4,0
37000,1,2,1
38000,2,3,1
39000,2,4,1
40000,2,4,1
