generation,rank_1,rank_2,swapAccepted
1000,3,4,0
2000,3,4,0
3000,2,3,1
4000,2,4,0
5000,3,4,0
6000,1,4,0
7000,1,3,1
8000,1,3,0
9000,1,2,1
10000,1,3,1
11000,2,4,0
12000,1,3,1
13000,1,2,1
14000,2,4,1
15000,1,3,1
16000,1,4,1
17000,2,3,1
18000,1,4,1
19000,2,4,1
20000,3,4,1
21000,2,4,1
22000,1,4,1
23000,1,2,0
24000,3,4,1
25000,2,3,1
26000,3,4,1
27000,1,2,1
28000,1,3,1
29000,1,4,1
30000,1,2,1
31000,1,4,1
32000,3,4,1
33000,2,3,1
34000,2,4,1
35000,2,3,1
36000,3,4,0
37000,3,4,1
38000,2,3,1
39000,1,4,1
40000,1,3,1
