generation,leftchild,rightchild,abstime,betainit,betashift
0,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.5,0
1000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.0232113,0
2000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00416634,0
2000,Pyxicephalus_adspersus,NA,269.501,0.0146854,0.00494296
2000,Crinia_signifera,Limnodynastes_dumerilii,179.387,0.00100246,-0.000509591
2000,Pipa_pipa,NA,285.039,0.00472761,0.00617876
2000,Discoglossus_pictus,NA,210.893,0.000591705,-0.00399836
2000,Discoglossus_pictus,Alytes_obstetricans,135.583,0.0326369,-0.00530316
3000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00352056,0
4000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00587128,0
5000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.0109567,0.000810798
5000,Astylosternus_diadematus,NA,290.76,0.064239,0.000718469
5000,Mantidactylus_lugubris,Leiopelma_hochstetteri,4.13641,0.00416412,-0.000829816
6000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.003969,0.000810798
7000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00350202,0.000810798
8000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00297244,0.000810798
9000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00579594,0
9000,Neobatrachus_sudelli,NA,281.945,0.0304882,0.00238892
10000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00821697,0
11000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00474118,0
11000,Dermophis_mexicanus,Boulengerula_taitana,91.3386,0.00277887,0.00531888
12000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00335072,0
12000,Hymenochirus_boettgeri,NA,221.521,0.00295263,-0.0033816
13000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00645439,0.000810798
14000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00520646,0.000810798
14000,Neobatrachus_sudelli,NA,266.465,0.0039957,-0.000231725
14000,Crinia_signifera,Limnodynastes_dumerilii,175.859,0.00437067,-0.00119593
14000,Discoglossus_pictus,NA,277.288,0.0422082,0.00558337
15000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00295031,0.000810798
15000,Leiopelma_hochstetteri,NA,283.186,0.00183335,0.00352548
16000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00358753,0.000810798
16000,Grandisonia_alternans,NA,274.011,7.47993e-05,0.00487271
17000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00418326,0.000810798
18000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00280316,0.000810798
19000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00221342,0.000810798
19000,Dermatonotus_muelleri,NA,285.697,0.0292653,0.00479807
20000,Mantidactylus_lugubris,Dermophis_mexicanus,0,0.00311487,0.000810798
20000,Pseudacris_nigrita,NA,293.832,0.0178813,0.0030545
