generation,leftchild,rightchild,abstime,betainit,betashift
0,Nyctanolis_pernix,Andrias_japonicus,0,0.5,0
1000,Nyctanolis_pernix,Andrias_japonicus,0,0.0188657,0
1000,Nyctanolis_pernix,Rhyacotriton_olympicus,58.2743,0.0147779,-0.00792714
1000,Paramesotriton_hongkongensis,NA,144.696,0.0075134,0.00988826
2000,Nyctanolis_pernix,Andrias_japonicus,0,0.00364408,0
2000,Proteus_anguinus,NA,141.809,0.0167881,0.0124106
2000,Necturus_maculosus,NA,100.598,0.00406875,0.01201
2000,Salamandra_salamandra,NA,153.561,0.0205437,-0.00762634
2000,Siren_intermedia,NA,50.3652,0.00461958,-0.00936893
2000,Proteus_anguinus,NA,121.102,0.000581516,-0.00550348
3000,Nyctanolis_pernix,Andrias_japonicus,0,0.0149291,-0.0247313
3000,Nyctanolis_pernix,Rhyacotriton_olympicus,55.8862,0.00880229,-0.0104254
3000,Salamandrina_terdigitata,NA,140.61,0.022557,-0.00209467
4000,Nyctanolis_pernix,Andrias_japonicus,0,0.0214671,-0.0247313
4000,Nyctanolis_pernix,Desmognathus_fuscus,68.0268,0.0093203,-0.0104254
4000,Salamandrina_terdigitata,NA,128.704,0.0225342,0.00197381
4000,Ambystoma_opacum,NA,152.911,0.023054,-0.00867915
4000,Paramesotriton_hongkongensis,Ambystoma_mexicanum,47.009,0.00138943,0.00170034
5000,Nyctanolis_pernix,Andrias_japonicus,0,0.00830031,0
6000,Nyctanolis_pernix,Andrias_japonicus,0,0.00249709,0
7000,Nyctanolis_pernix,Andrias_japonicus,0,0.00332147,0
8000,Nyctanolis_pernix,Andrias_japonicus,0,0.00295764,0
9000,Nyctanolis_pernix,Andrias_japonicus,0,0.00470727,0
9000,Andrias_japonicus,NA,110.212,0.00692031,0.0100963
10000,Nyctanolis_pernix,Andrias_japonicus,0,0.00201725,-0.000775497
11000,Nyctanolis_pernix,Andrias_japonicus,0,0.00105719,-0.000775497
11000,Nyctanolis_pernix,Desmognathus_fuscus,96.6406,0.0034865,-0.00401794
11000,Andrias_japonicus,NA,29.15,0.00111515,-0.0108439
12000,Nyctanolis_pernix,Andrias_japonicus,0,0.00186617,-0.000775497
12000,Nyctanolis_pernix,NA,159.088,0.00953628,-0.00956033
12000,Nyctanolis_pernix,Desmognathus_fuscus,85.5284,0.0049624,-0.00401794
12000,Necturus_maculosus,NA,97.8175,0.0192012,0.0062579
12000,Necturus_maculosus,NA,100.151,0.00386915,-0.00945793
13000,Nyctanolis_pernix,Andrias_japonicus,0,0.00612469,-0.000775497
14000,Nyctanolis_pernix,Andrias_japonicus,0,0.00187571,-0.000775497
14000,Nyctanolis_pernix,Desmognathus_fuscus,85.6573,0.00451445,-0.0026352
15000,Nyctanolis_pernix,Andrias_japonicus,0,0.0245494,-0.0247313
15000,Nyctanolis_pernix,Desmognathus_fuscus,72.3297,0.00788558,-0.00310303
16000,Nyctanolis_pernix,Andrias_japonicus,0,0.0111443,-0.0247313
16000,Nyctanolis_pernix,NA,140.014,0.00150644,0.00491207
16000,Nyctanolis_pernix,Desmognathus_fuscus,92.3733,0.019459,-0.00310303
16000,Paramesotriton_hongkongensis,Ambystoma_mexicanum,41.2757,0.0023193,-0.0022318
17000,Nyctanolis_pernix,Andrias_japonicus,0,0.0212869,-0.0247313
17000,Nyctanolis_pernix,Desmognathus_fuscus,101.588,0.0220709,-0.00310303
17000,Paramesotriton_hongkongensis,Ambystoma_mexicanum,39.0092,0.00246336,-0.0022318
18000,Nyctanolis_pernix,Andrias_japonicus,0,0.0104671,-0.0247313
18000,Eurycea_lucifuga,NA,139.059,0.00146163,-0.0035638
18000,Plethodon_jordani,NA,140.953,0.00166283,0.00449482
