generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-20.9607,-165.884,1,1
100,1,-11.9307,-162.047,0.336384,0.87
200,2,-7.91459,-163.558,2.06725,0.865
300,3,4.78172,-158.047,0.523705,0.85
400,4,11.2898,-152.722,0.824722,0.8625
500,6,21.7152,-150.153,2.91707,0.868
600,5,14.2781,-149.102,5.57476,0.87
700,6,30.2423,-140.436,3.5474,0.858571
800,8,44.7388,-132.263,3.69028,0.84625
900,7,34.0958,-133.336,4.93273,0.834444
1000,0,7.31091,-84.0058,0.0346956,0.782218
1100,0,6.71258,-73.0688,0.868261,0.65
1200,0,7.35103,-63.3875,0.341434,0.615
1300,0,7.66384,-61.2212,0.0735395,0.606667
1400,1,16.1031,-49.2618,0.499337,0.6075
1500,1,16.2181,-44.5827,0.640038,0.6
1600,1,16.0872,-41.3369,0.767882,0.595
1700,3,29.9205,-31.1871,1.94456,0.578571
1800,4,39.004,-28.1623,0.983463,0.55375
1900,3,29.6769,-24.6319,2.53138,0.543333
2000,5,42.2077,-25.7233,3.01917,0.667666
2100,3,27.1353,-28.1721,3.01917,0.45
2200,3,27.0649,-32.1892,3.01917,0.41
2300,3,27.5662,-31.8843,2.29419,0.43
2400,2,20.6558,-28.1405,2.29419,0.4525
2500,3,27.687,-31.9272,2.29419,0.448
2600,1,12.3851,-39.3641,3.64566,0.463333
2700,1,14.4886,-39.6119,1.35055,0.474286
2800,0,6.3873,-41.2336,1.83192,0.49625
2900,0,8.18196,-43.7648,0.16541,0.505556
3000,0,8.14284,-19.6808,0.330482,0.497
3100,2,20.7461,-26.5099,2.14794,0.52
3200,3,28.865,-22.9327,2.14794,0.52
3300,0,7.81191,-18.295,0.684802,0.48
3400,0,8.1422,-21.2794,0.32232,0.455
3500,0,7.77766,-24.6411,0.669968,0.456
3600,0,7.98906,-32.0983,0.409568,0.463333
3700,0,7.98906,-34.3322,0.409568,0.461429
3800,0,8.32074,-33.7583,0.0620197,0.46
3900,0,7.94798,-34.7334,0.428454,0.461111
4000,0,7.02556,-38.8494,1.31313,0.489
4100,2,17.0195,-37.7065,2.8798,0.55
4200,2,21.1073,-29.245,2.38543,0.555
4300,0,7.77447,-26.584,0.610722,0.516667
4400,1,14.2228,-28.0318,1.16552,0.5
4500,2,22.557,-29.8526,1.16552,0.492
4600,0,6.48538,-32.5827,1.88146,0.495
4700,1,15.7302,-30.3775,0.808075,0.502857
4800,1,15.215,-33.8068,0.808075,0.5025
4900,1,16.0063,-29.5904,0.901539,0.498889
5000,2,19.1288,-28.4653,2.28993,0.6556
5100,2,21.0403,-32.0872,0.771592,0.52
5200,6,52.0683,-26.8944,2.82026,0.515
5300,6,51.9777,-30.5717,2.82026,0.49
5400,5,43.722,-32.1433,4.05202,0.4925
5500,4,37.3587,-30.3931,3.40125,0.484
5600,3,29.3185,-29.1082,3.52918,0.491667
5700,2,23.4474,-27.7816,0.975162,0.504286
5800,3,29.1439,-32.5434,2.67729,0.50625
5900,4,35.7252,-34.6312,2.67729,0.516667
6000,0,8.22394,-30.5823,0.202123,0.5
6100,0,8.33555,-29.0819,0.11213,0.44
6200,0,8.13581,-40.7376,0.272874,0.405
6300,1,16.6774,-42.0322,0.138114,0.436667
6400,2,24.2293,-37.2851,0.368355,0.4575
6500,2,23.8158,-27.9565,0.718894,0.472
6600,1,14.7252,-29.3099,1.58911,0.475
6700,1,14.9212,-32.6291,0.834693,0.461429
6800,0,8.15002,-26.5268,0.301989,0.46375
6900,0,7.75536,-27.9882,0.71871,0.456667
7000,0,8.21258,-29.343,0.240226,0.461
7100,0,8.295,-27.7702,0.183366,0.45
7200,0,8.25581,-27.2354,0.183366,0.45
7300,0,7.85735,-30.6815,0.555178,0.463333
7400,0,7.91821,-27.0702,0.500474,0.4875
7500,0,7.97048,-29.0077,0.423165,0.474
7600,1,15.6727,-22.1426,1.33693,0.476667
7700,1,15.7066,-24.2405,1.33693,0.475714
7800,0,8.22665,-26.961,0.192304,0.47875
7900,0,6.16033,-22.5531,2.32281,0.478889
