generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-32.5086,-87.8163,1,1
100,0,-31.9938,-75.597,0.128361,0.84
200,0,-32.362,-77.8825,0.496541,0.825
300,0,-18.6848,-67.9468,0.496541,0.796667
400,1,4.76538,-53.1184,0.496541,0.795
500,0,-3.89903,-50.914,1.01176,0.794
600,1,5.43755,-39.989,0.299103,0.788333
700,0,-2.57815,-40.9145,2.08837,0.781429
800,0,-0.712837,-38.0344,0.332518,0.76375
900,1,11.2307,-25.5857,0.332518,0.748889
1000,2,19.2718,-29.2543,1.07788,0.708292
1100,2,18.5779,-21.0416,2.35384,0.57
1200,1,15.1851,-20.858,0.664251,0.595
1300,1,15.0885,-22.1292,0.365497,0.62
1400,0,7.676,-11.1243,0.405965,0.5925
1500,1,13.1484,-6.18493,2.41275,0.578
1600,5,41.463,-4.53061,2.89805,0.581667
1700,5,39.0175,-1.36829,2.89805,0.562857
1800,5,40.896,-3.72302,1.72857,0.55125
1900,4,33.4959,-3.59474,3.36708,0.541111
2000,5,38.426,-10.5098,3.36708,0.533
2100,5,36.9757,-6.89732,3.81269,0.44
2200,6,45.2027,-7.56614,3.81269,0.48
2300,6,42.6004,-7.84655,4.33644,0.486667
2400,6,46.3877,-6.31839,2.02898,0.4975
2500,5,42.2148,-3.13061,3.18427,0.502
2600,5,42.7758,-4.73585,3.18427,0.498333
2700,6,45.5556,-3.38617,3.18427,0.498571
2800,8,61.4135,-2.82376,1.83521,0.48375
2900,8,54.8272,-2.43422,8.93054,0.485556
3000,2,9.25062,2.56625,5.29639,0.520493
3100,3,20.0125,6.50108,0.915729,0.39
3200,3,20.8193,-4.29205,1.17487,0.415
3300,4,25.4658,-0.221949,3.01994,0.423333
3400,3,19.486,4.64086,1.98576,0.4125
3500,3,18.1647,4.04962,2.68145,0.41
3600,4,26.4404,3.10683,2.68145,0.416667
3700,4,24.0385,-2.80864,4.37539,0.428571
3800,3,19.3942,-4.37981,1.29066,0.43625
3900,4,26.5131,-1.58071,1.39931,0.44
4000,4,26.6725,-0.280801,1.39931,0.439
4100,3,20.7785,-2.29132,1.39931,0.38
4200,4,28.146,4.96928,2.32807,0.435
4300,2,12.3658,-1.53078,2.32807,0.426667
4400,2,10.5787,-0.302769,2.91183,0.425
4500,4,26.4823,2.36332,1.9578,0.426
4600,4,28.197,3.89271,1.99701,0.441667
4700,3,21.1303,5.99948,1.3752,0.444286
4800,3,18.7161,4.16979,3.41084,0.44625
4900,3,18.5932,0.419486,1.83997,0.447778
5000,0,7.61236,-12.8639,0.115129,0.439333
5100,1,15.3417,-5.7668,0.516809,0.51
5200,0,7.46244,-3.98474,0.516809,0.515
5300,0,7.93731,-1.01967,0.184717,0.486667
5400,0,7.77904,-5.71207,0.184717,0.475
5500,0,7.14644,-7.42998,0.93557,0.49
5600,0,7.74326,-7.4547,0.425089,0.49
5700,0,7.72413,-1.23784,0.425089,0.481429
5800,0,7.55249,-4.68808,0.609388,0.4675
5900,0,8.07556,-0.419069,0.0133266,0.454444
6000,0,8.18335,-0.636407,0.00721897,0.45
