generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-32.0155,-611.865,1,1
100,1,-11.9039,-144.599,1,0.57
200,3,3.7414,-139.135,1.74271,0.55
300,6,28.4422,-120.999,2.84544,0.546667
400,7,36.3794,-108.17,2.84544,0.53
500,7,34.3025,-103.059,2.84544,0.516
600,8,42.6361,-101.665,6.37897,0.483333
700,8,42.1497,-97.468,6.37897,0.468571
800,6,27.3468,-81.7035,6.37897,0.47125
900,7,51.0457,-67.6955,4.08627,0.468889
1000,4,30.2048,-62.4274,2.31126,0.479
1100,5,38.4532,-55.0233,4.73756,0.41
1200,4,29.5362,-59.4966,4.73756,0.41
1300,2,16.6706,-33.9568,4.73756,0.426667
1400,3,28.8722,-21.7657,1.0776,0.4325
1500,4,33.5028,-19.5896,4.16244,0.428
1600,5,43.7708,-12.2318,4.16244,0.415
1700,6,52.9671,-18.7164,1.72742,0.421429
1800,4,36.9999,-12.4115,1.72742,0.41125
1900,5,42.3132,-16.8325,3.09259,0.406667
2000,2,20.6342,-12.9992,3.77213,0.417
2100,2,23.2758,-12.4534,1.13052,0.36
2200,3,31.6415,-8.78734,1.26471,0.4
2300,5,42.2786,-1.63078,3.62789,0.413333
2400,5,43.4423,5.26416,2.37374,0.4075
2500,5,42.058,8.99252,3.82955,0.404
2600,5,41.6124,10.9356,3.82955,0.4
2700,5,42.5657,6.91009,2.45736,0.392857
2800,6,46.065,5.06437,5.64391,0.4
2900,5,44.934,5.46095,1.79557,0.413333
3000,5,44.934,10.2295,1.79557,0.406
3100,4,37.6187,19.3528,4.13643,0.43
3200,5,45.4384,21.04,4.13643,0.44
3300,3,29.9376,20.0508,4.13643,0.416667
3400,2,22.7148,21.752,2.75195,0.415
3500,2,23.1498,24.3757,2.49803,0.418
3600,2,25.1263,26.9358,0.466305,0.4
3700,2,24.9052,19.2749,0.688228,0.41
3800,3,30.178,11.256,3.71269,0.41
3900,3,29.3694,13.0188,4.52095,0.411111
4000,4,37.2166,15.4944,2.58183,0.407
4100,3,30.3426,16.2151,2.58183,0.35
4200,3,30.1643,20.0157,3.0475,0.36
4300,4,37.7675,18.8151,3.0475,0.373333
4400,4,38.52,26.0454,3.0475,0.365
4500,3,32.4134,31.3288,0.760473,0.358
4600,4,36.6265,32.6472,3.87378,0.368333
4700,5,45.6822,29.3622,3.87378,0.374286
4800,5,46.539,21.1007,3.87378,0.36625
4900,6,55.3667,27.4618,3.87378,0.362222
5000,4,39.927,29.82,1.645,0.362
5100,3,29.9237,32.1201,3.17129,0.35
5200,2,24.2788,27.9555,0.870855,0.31
5300,2,23.7634,37.3272,1.38628,0.313333
5400,3,29.9326,32.0423,2.45053,0.3225
5500,4,36.9914,38.6233,2.45053,0.322
5600,4,36.9116,37.6349,2.45053,0.313333
5700,6,50.0891,30.5988,2.42301,0.315714
5800,3,31.7279,33.3336,0.421815,0.32875
5900,3,31.1686,33.5737,0.675954,0.327778
6000,2,23.3401,29.45,1.47861,0.332
6100,2,21.2995,11.3152,3.5192,0.42
6200,1,13.2102,7.3841,3.78864,0.375
6300,1,15.5223,13.6268,1.54343,0.38
6400,2,21.4614,23.838,1.85813,0.3625
6500,2,19.9292,21.0429,3.49703,0.352
6600,1,16.5129,20.342,0.692195,0.346667
6700,1,16.0588,23.043,1.16164,0.352857
6800,1,16.8853,22.8918,0.316596,0.3475
6900,1,16.5656,26.1776,0.636323,0.347778
7000,1,16.4929,24.2333,0.596117,0.336
7100,0,8.15516,20.6819,0.48967,0.32
7200,0,8.09084,19.8125,0.596893,0.34
7300,0,8.09084,28.1941,0.596893,0.32
7400,1,14.5964,30.2217,0.942173,0.3225
7500,3,30.2429,31.9302,0.942173,0.328
7600,1,15.5989,36.4333,0.789993,0.335
7700,1,15.343,29.6033,0.753914,0.331429
7800,0,7.56821,31.9159,1.12479,0.3375
7900,1,13.4632,34.4922,0.269177,0.337778
8000,1,15.9545,-0.495711,0.856121,0.545807
8100,0,7.81313,4.852,0.856121,0.31
8200,2,22.4621,0.53263,1.85673,0.37
8300,1,15.308,8.63638,1.85673,0.383333
8400,0,8.13653,-1.93785,0.53272,0.38
8500,0,8.03205,1.86752,0.610284,0.368
8600,0,8.25834,0.0775349,0.406775,0.371667
8700,0,8.35971,-0.38103,0.291221,0.362857
8800,1,16.6625,2.82572,0.742985,0.37
8900,0,7.09379,2.51195,1.56447,0.372222
9000,0,8.56831,10.183,0.11608,0.375
9100,0,8.35831,10.8047,0.326072,0.34
9200,1,15.5854,2.78773,0.866592,0.34
9300,0,7.69761,-1.48559,0.997557,0.316667
9400,0,8.32921,10.7145,0.339799,0.3225
9500,0,8.55098,11.2907,0.138915,0.32
9600,0,7.75267,8.47144,0.937224,0.321667
9700,1,14.5952,8.76082,1.16847,0.34
9800,0,8.49257,20.7328,0.195189,0.3375
9900,0,8.49257,30.036,0.195189,0.328889
10000,0,8.58685,40.3638,0.0992525,0.443756
10100,0,8.61616,39.8074,0.0808403,0.37
10200,0,8.68984,32.3338,0.00716806,0.36
10300,0,8.69019,38.4513,0.00681591,0.333333
10400,0,8.65202,46.2679,0.0449809,0.3175
10500,1,15.1509,39.8305,1.56666,0.326
10600,2,24.6231,38.7467,0.595108,0.326667
10700,2,24.5461,35.4175,0.941058,0.337143
10800,2,23.9908,38.637,0.941058,0.34125
10900,3,31.7922,34.7318,0.941058,0.342222
11000,0,6.89828,37.6898,1.79904,0.345
11100,2,23.971,36.8959,0.331534,0.33
11200,1,14.9537,34.3138,2.14986,0.355
11300,0,6.74527,40.8527,1.95204,0.34
11400,0,8.52637,37.3864,0.170949,0.35
11500,0,8.65065,37.5024,0.0466649,0.344
11600,0,8.60253,36.1691,0.0948244,0.348333
11700,0,8.61166,30.8988,0.0856876,0.342857
11800,0,8.67848,26.0049,0.018866,0.345
11900,0,8.57288,25.686,0.124469,0.342222
12000,2,19.2823,59.0667,2.98757,0.408883
12100,3,28.6922,55.6978,1.80316,0.51
12200,3,28.3969,53.3362,2.58898,0.4
12300,3,29.8028,49.0168,1.40327,0.376667
12400,2,22.7413,51.115,1.10807,0.385
12500,2,23.1159,49.7544,1.10807,0.374
12600,1,14.5414,64.2289,0.989467,0.368333
12700,1,14.5414,65.0129,0.989467,0.362857
12800,2,21.9799,68.6657,0.989467,0.3525
12900,1,15.6371,74.1068,0.36163,0.353333
13000,1,15.0141,71.7779,0.984599,0.346
13100,1,15.0141,75.8558,0.984599,0.35
13200,2,22.9874,67.2176,1.55588,0.31
13300,4,38.5687,63.1978,2.36316,0.313333
13400,5,43.3503,67.0869,2.36316,0.315
13500,4,36.004,66.6673,3.93071,0.318
13600,4,38.2106,66.1847,1.43227,0.32
13700,3,29.7478,63.5623,1.43227,0.327143
13800,2,22.3188,57.2207,1.43227,0.32125
13900,2,22.78,57.2428,1.43227,0.335556
14000,2,21.8845,49.5489,1.97253,0.331
14100,3,28.9676,57.2162,1.97253,0.31
14200,3,28.197,54.1787,3.50116,0.33
14300,3,28.3676,53.9998,3.50116,0.336667
14400,3,30.553,46.9547,1.35618,0.35
14500,2,20.4516,45.058,3.10079,0.35
14600,2,20.2242,46.3447,3.32818,0.345
14700,2,19.5631,39.1626,3.32818,0.348571
14800,1,13.9508,38.7267,0.738297,0.34125
14900,1,13.6097,41.3338,0.738297,0.334444
15000,2,19.3719,30.8601,0.905776,0.332
15100,1,13.4312,35.6168,0.877907,0.36
15200,2,22.4779,31.5492,0.757677,0.39
15300,1,12.7691,27.7733,0.757677,0.373333
15400,1,13.6836,29.4859,0.757677,0.3625
15500,2,22.4192,28.5796,1.14069,0.368
15600,3,28.1679,31.8711,2.67613,0.37
15700,2,22.9502,39.277,0.373729,0.371429
15800,2,19.666,34.6588,3.66216,0.365
15900,3,28.0142,36.7708,0.711861,0.356667
16000,1,11.607,42.2495,2.79152,0.355
16100,3,27.9638,40.9706,2.79152,0.31
16200,3,26.2831,34.7381,2.79152,0.305
16300,2,21.6198,43.2605,0.952571,0.32
16400,2,22.3731,50.1374,1.13787,0.3325
16500,1,13.292,46.8291,1.47931,0.332
16600,1,13.9994,48.3884,0.757472,0.335
16700,1,14.2547,46.1436,0.560564,0.332857
16800,3,29.6484,47.8342,1.19974,0.345
16900,3,29.1917,48.8578,1.69399,0.332222
17000,0,8.52146,39.8948,0.168788,0.323333
17100,0,7.28207,34.0764,1.43795,0.2
17200,0,8.60846,29.8935,0.120452,0.235
17300,0,7.53269,37.5997,1.19622,0.276667
17400,0,8.50702,38.6707,0.221889,0.285
17500,0,7.69986,35.3341,0.993358,0.302
17600,0,8.42558,29.22,0.267638,0.306667
17700,0,8.43729,26.2257,0.262791,0.315714
17800,0,8.15149,23.7194,0.532057,0.32375
17900,1,14.6449,23.8108,1.54301,0.323333
18000,1,15.5343,31.8871,0.765446,0.325
18100,0,7.92589,35.509,0.765446,0.32
18200,0,7.75254,32.3015,0.904064,0.345
18300,0,7.79821,36.5163,0.904064,0.333333
