generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-61.1563,-444.423,1,0
100,1,-53.9519,-444.403,1.07445,0.83
200,1,-53.6236,-440.616,1.22464,0.835
300,2,-39.8826,-417.031,2.82858,0.86
400,3,-33.3559,-411.289,3.85981,0.865
500,5,-5.58477,-392.654,2.79623,0.852
600,4,-4.15614,-366.558,4.52949,0.846667
700,4,-1.38054,-368.935,1.66657,0.842857
800,4,-1.40977,-369.036,1.66657,0.84125
900,4,-1.67051,-369.713,1.92731,0.841111
1000,4,11.0569,-333.346,2.00264,0.834
1100,3,3.77056,-332.043,1.79907,0.8
1200,4,13.3471,-324.827,0.773424,0.815
1300,4,9.8042,-312.59,2.92229,0.773333
1400,5,22.6772,-287.48,2.0191,0.7625
1500,3,13.9937,-258.993,2.0191,0.726
1600,3,15.1785,-246.929,2.15275,0.723333
1700,3,18.7434,-232.174,1.351,0.722857
1800,3,18.3093,-237.947,1.88448,0.715
1900,4,27.5062,-219.426,2.03926,0.71
2000,5,27.3408,-217.196,1.94168,0.704
2100,5,35.4887,-199.595,2.32555,0.67
2200,5,35.582,-190.532,3.43797,0.655
2300,6,43.1679,-186.193,4.07486,0.64
2400,6,44.4018,-181.262,2.9951,0.625
2500,5,37.0949,-184.792,2.9951,0.634
2600,4,30.4775,-178.401,1.54,0.636667
2700,3,23.3117,-171.247,1.54,0.641429
2800,4,31.492,-163.636,3.45335,0.6375
2900,3,23.2039,-159.585,3.45335,0.642222
3000,7,54.8414,-149.582,2.83566,0.644
3100,6,42.2876,-142.791,4.80669,0.72
3200,7,50.7372,-137.304,4.08465,0.68
3300,7,51.4556,-139.684,4.08465,0.696667
3400,7,49.9423,-140.184,4.08465,0.6775
3500,6,41.5316,-144.269,4.08465,0.676
3600,5,35.8854,-144.52,3.53843,0.665
3700,5,35.5628,-140.46,3.53843,0.67
3800,5,36.5853,-144.234,3.53843,0.655
3900,6,48.2466,-144.666,3.53843,0.654444
4000,6,50.0031,-136.883,3.28536,0.647
4100,5,37.7991,-129.536,4.32972,0.68
4200,4,33.8817,-126.675,0.947508,0.67
4300,4,31.4841,-123.174,3.12675,0.626667
4400,5,34.2872,-122.038,2.25896,0.635
4500,5,36.5054,-110.985,5.0782,0.624
4600,5,39.403,-103.935,2.34405,0.628333
4700,5,38.3812,-102.86,3.98181,0.617143
4800,5,38.7786,-96.3174,2.93711,0.6075
4900,3,26.7333,-95.9572,1.91743,0.597778
5000,2,18.73,-91.8798,1.91743,0.594
5100,2,19.7919,-76.5246,1.72278,0.62
5200,2,19.9886,-77.9948,1.72278,0.605
5300,2,21.1669,-66.1984,1.72278,0.59
5400,3,24.6807,-34.496,2.18154,0.5875
5500,3,23.9839,-30.9415,1.0217,0.572
5600,3,25.1041,-34.5304,1.43395,0.555
5700,2,22.7328,-22.2229,1.43395,0.537143
5800,2,24.0568,-7.54901,0.821245,0.535
5900,2,23.9283,-1.94692,0.821245,0.525556
6000,2,22.2777,5.80099,2.06318,0.527
6100,2,20.9631,13.2266,2.06318,0.45
6200,1,15.0769,5.96569,2.06318,0.465
6300,2,25.1439,24.5645,0.880589,0.443333
6400,1,16.936,24.4777,0.317106,0.425
6500,2,23.5912,9.679,0.695697,0.42
6600,2,23.8791,7.46882,0.695697,0.431667
6700,3,27.6182,11.7567,3.07675,0.437143
6800,2,22.4038,15.8235,1.81251,0.43875
6900,1,16.3047,14.4571,0.86014,0.435556
7000,3,30.3325,25.2043,0.859481,0.526925
7100,3,31.3381,23.2724,1.19237,0.4
7200,3,31.0285,32.1703,1.37037,0.415
7300,2,23.0458,23.7238,0.959834,0.42
7400,3,30.4761,29.8596,1.68406,0.41
7500,3,31.2714,35.4176,1.68406,0.42
7600,4,39.4845,51.5855,1.68406,0.41
7700,4,39.8184,60.5872,1.22443,0.405714
7800,3,32.7053,63.0989,0.811707,0.40625
7900,3,30.8008,69.6439,2.2811,0.398889
8000,4,39.7955,70.9721,2.2811,0.393
8100,5,48.4602,71.1671,2.2811,0.31
8200,4,41.234,64.3167,2.2811,0.355
8300,3,32.0676,74.6236,2.40033,0.36
8400,6,54.3573,72.4555,2.94847,0.3775
8500,3,29.9843,80.0208,3.09054,0.386
8600,3,30.1384,80.4789,3.09054,0.376667
8700,2,22.0116,81.2888,3.09054,0.364286
8800,2,23.6036,76.4566,1.0578,0.3675
8900,2,24.373,75.0046,0.638337,0.36
9000,0,-0.856695,118.711,0.751881,0.389623
9100,1,6.30297,121.604,1.11547,0.32
9200,0,-0.306087,114.855,0.201273,0.355
9300,0,0.0963147,122.331,0.226202,0.36
9400,0,0.281778,116.573,0.0407385,0.3525
9500,0,0.855398,118.176,0.0330959,0.342
9600,0,0.418669,119.989,0.456079,0.325
9700,1,5.76244,121.225,0.411231,0.33
9800,1,5.68518,126.064,1.32466,0.3475
9900,1,3.78191,120.212,1.76275,0.353333
10000,0,8.80641,70.731,0.0165591,0.38725
10100,1,16.4018,71.7334,1.06933,0.39
10200,1,16.2822,78.0156,0.682033,0.365
10300,3,32.7504,81.9908,1.09483,0.37
10400,2,24.2807,84.252,1.10603,0.365
10500,0,8.02472,85.7627,0.875092,0.376
10600,0,8.74117,82.8397,0.229928,0.365
10700,0,8.85701,88.7508,0.0556586,0.352857
10800,0,8.82756,88.1028,0.0878534,0.35125
10900,0,8.297,93.2742,0.618416,0.352222
11000,0,8.64548,93.8778,0.269939,0.352
11100,1,17.0863,93.8986,0.819737,0.33
11200,1,17.2958,92.611,0.140375,0.35
11300,0,8.92285,96.8338,0.0108765,0.366667
11400,0,8.95734,108.978,0.0276458,0.365
11500,0,8.80241,103.015,0.182582,0.348
11600,0,8.19055,98.6448,0.760822,0.34
11700,0,8.84685,105.366,0.104529,0.338571
11800,0,8.22304,99.5826,0.733908,0.33125
11900,0,8.71453,100.007,0.24242,0.328889
12000,1,7.86543,111.178,0.99081,0.335
12100,0,-1.28843,106.796,0.762578,0.38
12200,0,-0.683913,113.496,0.158065,0.315
12300,0,-0.625914,107.442,0.100066,0.32
12400,0,-0.597066,103.18,0.0712175,0.325
12500,0,-1.4337,105.735,0.907851,0.318
12600,1,4.50909,103.532,1.18831,0.311667
12700,0,-0.764517,101.645,0.137124,0.315714
12800,0,-1.40114,100.576,0.625214,0.31625
12900,0,-0.82494,99.6196,0.0490146,0.326667
13000,0,8.59893,102.008,0.347999,0.3506
13100,0,8.65277,100.373,0.292027,0.38
13200,0,8.47903,97.5825,0.465766,0.355
13300,0,8.50955,102.431,0.435249,0.306667
13400,1,17.0438,100.623,0.633674,0.3125
13500,1,16.1862,105.878,0.633674,0.314
13600,1,13.9691,107.013,3.59865,0.328333
13700,0,7.74102,108.686,1.25173,0.33
13800,0,7.74102,117.439,1.25173,0.3225
13900,0,8.63455,117.498,0.388356,0.322222
14000,0,8.81989,120.177,0.203022,0.312
14100,0,8.98275,122.363,0.0401587,0.26
14200,0,8.69534,121.603,0.280853,0.26
14300,0,8.81309,115.376,0.161684,0.263333
14400,0,8.83228,122.493,0.161684,0.2825
14500,2,25.3169,114.764,0.611367,0.304
14600,2,25.2329,118.086,0.611367,0.32
14700,1,16.997,115.873,0.65518,0.315714
14800,2,24.5774,108.393,1.27822,0.3175
14900,3,32.4807,111.276,0.42331,0.322222
15000,1,15.6848,119.661,0.445671,0.319
15100,1,16.1267,112.725,0.771163,0.24
15200,0,8.85806,115.427,0.126357,0.295
15300,0,8.945,118.491,0.0394124,0.29
15400,0,8.90263,120.613,0.0817884,0.2725
15500,0,8.74769,118.306,0.23673,0.266
15600,0,8.83245,111.045,0.121191,0.26
15700,0,8.77037,104.427,0.183277,0.261429
15800,0,8.86847,118.14,0.0851747,0.2675
15900,0,8.70703,116.014,0.292836,0.27
16000,0,-0.0763279,115.274,0.659986,0.327
16100,1,8.54076,112.832,0.659986,0.26
16200,0,-0.580047,114.702,0.24875,0.3
16300,0,-0.174184,112.786,0.0893059,0.306667
16400,0,-0.224285,118.877,0.139408,0.2975
16500,0,0.891421,118.729,0.083542,0.288
16600,0,0.221531,115.017,0.00160169,0.298333
16700,0,0.444924,115.8,0.00288659,0.304286
16800,0,0.00606915,112.406,0.033033,0.30875
16900,0,0.106228,112.664,0.0353374,0.306667
17000,0,-0.826486,117.911,0.968052,0.308
17100,1,8.23369,111.226,0.968052,0.28
17200,1,8.27078,109.869,1.03085,0.3
17300,1,9.09975,115.656,0.202569,0.3
17400,1,6.14738,118.826,1.4705,0.3375
17500,1,6.81578,112.39,0.71983,0.33
17600,0,0.476128,123.112,0.431389,0.333333
17700,0,0.316886,127.138,0.472387,0.328571
17800,0,-0.0582471,125.29,0.582747,0.33875
17900,2,14.3215,134.195,1.15556,0.34
18000,1,15.8372,121.487,1.34432,0.290667
18100,0,8.141,116.543,0.842644,0.26
18200,0,8.141,123.804,0.842644,0.25
18300,0,8.583,120.069,0.400804,0.276667
18400,0,7.41894,120.444,1.5323,0.2775
18500,0,8.91694,116.753,0.0343061,0.28
18600,0,8.92371,114.686,0.0275383,0.283333
18700,0,8.98597,120.813,0.0179922,0.28
18800,0,8.98597,118.812,0.0179922,0.27875
18900,1,15.2955,118.974,0.47909,0.282222
19000,1,12.129,111.548,3.20648,0.292
19100,1,15.7393,114.719,1.33961,0.41
19200,0,7.64198,115.493,1.33961,0.37
19300,0,8.95241,117.174,0.0369739,0.356667
19400,0,8.93008,116.311,0.0592989,0.3225
19500,0,8.82834,113.018,0.161045,0.308
19600,0,8.60883,99.2474,0.380555,0.3
19700,1,14.1467,95.1702,1.76008,0.307143
19800,1,15.4915,90.5747,1.76008,0.30875
19900,2,24.0423,102.203,1.76008,0.301111
20000,1,16.9566,99.7831,0.976934,0.302
20100,1,16.5141,100.467,0.875894,0.34
20200,0,8.61569,98.9008,0.335228,0.33
20300,0,8.84142,94.8143,0.0987072,0.333333
20400,0,8.86986,92.7371,0.0702625,0.2975
20500,0,8.28682,84.7979,0.679133,0.302
20600,0,8.93844,92.6669,0.0557352,0.293333
20700,0,8.30967,93.5307,0.632198,0.295714
20800,2,23.4485,97.6192,1.01931,0.29625
20900,0,8.54136,100.938,0.400506,0.302222
21000,0,8.51482,100.051,0.400506,0.302
21100,1,16.5275,96.7234,0.533553,0.3
21200,1,16.0672,90.6056,0.639256,0.32
21300,1,15.2613,93.3977,0.639256,0.313333
21400,1,15.9825,94.0281,0.189051,0.3225
21500,0,8.63219,91.0708,0.283129,0.332
21600,0,8.17615,91.4124,0.739174,0.338333
21700,0,8.59202,87.7944,0.322458,0.334286
21800,0,8.24075,90.3071,0.673734,0.34375
21900,0,8.0684,91.0718,0.846084,0.345556
22000,2,13.2936,112.978,0.551433,0.3348
22100,2,14.1693,116.646,0.551433,0.37
22200,1,6.07029,119.168,0.854195,0.375
22300,3,21.2802,117.004,2.11267,0.363333
22400,1,5.2923,110.644,2.11267,0.35
22500,2,14.0277,121.775,2.11267,0.342
22600,3,23.6337,118.004,0.682409,0.35
22700,0,-2.01205,111.281,1.4638,0.357143
22800,0,-2.78462,102.126,1.36695,0.36
22900,0,-0.319906,99.0074,0.2121,0.353333
23000,0,0.0542405,112.638,0.0136963,0.352
23100,0,0.0542405,121.845,0.0136963,0.18
23200,0,-0.235895,119.029,0.303832,0.23
23300,0,-0.154329,117.987,0.222266,0.256667
23400,0,-0.781986,126.068,0.849923,0.255
23500,1,8.66148,125.641,0.849923,0.264
23600,1,8.68552,119.427,0.849923,0.26
23700,2,16.3339,116.455,0.607278,0.268571
23800,2,15.056,118.024,0.607278,0.26875
23900,1,7.48923,121.679,0.607278,0.27
24000,0,0.32352,125.624,0.30586,0.276
24100,0,0.582214,122.614,0.0471661,0.22
24200,0,0.325439,126.133,0.017324,0.225
24300,0,0.254865,130.901,0.0878981,0.26
24400,0,-0.00522503,126.022,0.347988,0.26
24500,2,13.3376,122.911,1.79378,0.26
24600,0,-0.0129385,121.498,0.355702,0.275
24700,0,-0.466987,118.405,1.14817,0.265714
24800,0,0.0412976,123.767,0.63989,0.27375
24900,0,-0.425779,121.827,1.10697,0.273333
25000,0,0.120072,124.502,0.561116,0.284
25100,0,-0.980637,123.051,0.968743,0.31
25200,0,-1.03256,119.379,1.21821,0.3
25300,0,-0.5335,120.346,0.719156,0.273333
25400,0,-0.5335,118.328,0.719156,0.2475
25500,0,-0.546203,123.812,0.731859,0.252
25600,0,1.1153,117.137,0.0228156,0.256667
25700,0,-1.18776,113.294,0.255146,0.272857
25800,0,0.207339,116.571,0.214165,0.28625
25900,0,-1.88337,117.435,2.30488,0.282222
26000,2,15.8888,120.33,0.434815,0.287
26100,0,0.111228,120.719,0.434815,0.35
26200,0,0.519059,127.003,0.130486,0.36
26300,0,0.251924,122.623,0.397622,0.306667
26400,0,-0.982094,119.72,0.642333,0.2925
26500,1,8.60803,116.415,0.137209,0.304
26600,0,-1.10827,111.984,0.768504,0.3
26700,0,-0.693063,103.658,0.928227,0.305714
26800,0,-0.983474,105.888,0.376112,0.3075
26900,0,-0.667845,105.106,0.060482,0.312222
27000,0,8.21519,123.61,0.773899,0.300667
27100,0,8.23196,122.368,0.773899,0.28
27200,0,8.84083,127.673,0.165409,0.275
27300,0,8.77593,127.708,0.230311,0.28
27400,1,15.1095,131.746,0.815094,0.305
27500,2,25.6161,137.299,0.661196,0.316
27600,2,21.7178,137.481,4.19151,0.303333
27700,2,23.7035,140.07,1.94342,0.304286
27800,2,23.1264,137.482,1.94342,0.2975
27900,0,8.33202,135.945,0.662054,0.296667
28000,0,8.36426,129.089,0.688718,0.286643
28100,0,8.71984,135.123,0.286095,0.24
28200,0,8.71984,133.603,0.286095,0.23
28300,0,8.99607,124.076,0.0129115,0.236667
28400,0,8.99083,124.941,0.0181513,0.2575
28500,0,8.96495,118.233,0.0181513,0.268
28600,0,8.96216,122.847,0.0181513,0.271667
28700,0,8.92703,126.874,0.0489395,0.285714
28800,0,8.76634,125.549,0.23841,0.28
28900,0,8.03649,123.295,0.968262,0.285556
29000,0,8.58222,117.507,0.412233,0.44264
29100,0,8.53094,116.595,0.496818,0.26
29200,1,15.0261,116.777,0.924696,0.31
29300,1,15.1811,117.435,0.924696,0.35
29400,0,8.70302,122.743,0.247366,0.335
29500,0,8.1083,125.832,0.898702,0.324
29600,1,16.7684,132.097,0.898702,0.323333
29700,2,24.2019,125.575,1.50822,0.318571
29800,2,23.885,123.48,1.41417,0.3075
29900,3,30.9196,127.369,3.34606,0.307778
30000,1,9.51805,131.289,0.615915,0.30425
30100,1,9.78524,129.386,0.457665,0.33
30200,0,-0.794324,126.307,0.840687,0.34
30300,0,-0.551905,125.824,0.598268,0.31
30400,1,8.10108,126.148,0.598268,0.3325
30500,1,8.1051,121.904,0.598268,0.328
30600,0,-0.49481,119.953,0.551106,0.35
30700,0,-1.01558,117.898,0.41364,0.341429
30800,0,0.457572,128.581,0.298632,0.34
30900,0,0.191586,125.969,0.072413,0.338889
31000,2,21.2157,133.494,2.69879,0.306667
31100,2,21.2219,141.404,2.33704,0.29
31200,2,20.1087,140.786,4.28251,0.29
31300,3,29.0655,138.329,4.28251,0.283333
31400,3,33.2596,136.855,0.457384,0.275
31500,1,17.0196,143.483,1.02669,0.28
31600,1,15.8386,152.188,0.122946,0.298333
31700,0,7.6798,138.622,1.35711,0.287143
31800,0,8.30484,135.917,0.732075,0.28
