AHE_ID,Institution,ID,Order,Family,Genus,Species
I4372,MVZ,188060,Anura,Alsodidae,Alsodes,gargola
I4373,MVZ,231914,Anura,Alytidae,Alytes,obstetricans
I4397,MVZ,235689,Anura,Alytidae,Discoglossus,pictus
I6485,MCZ,A137988,Anura,Arthroleptidae,Arthroleptis,sylvaticus
I7557,ESP/CJR,R1020,Anura,Arthroleptidae,Arthroleptis,variabilis
I7559,ESP/CJR,R846,Anura,Arthroleptidae,Arthroleptis,wahlbergii
I6477,MCZ,A136805,Anura,Arthroleptidae,Astylosternus,diadematus
I6478,MCZ,A139626,Anura,Arthroleptidae,Cardioglossa,leucomystax
I4375,CAS,168499,Anura,Arthroleptidae,Leptopelis,parkeri
I7720,ESP/CJR,R306,Anura,Arthroleptidae,Leptopelis,vermiculatus
I4442,AMCC,122836,Anura,Arthroleptidae,Leptodactylodon,bicolor
I4376,AMCC,122837,Anura,Arthroleptidae,Nyctibates,corrugatus
I6483,MCZ,A139709,Anura,Arthroleptidae,Scotobleps,gabonicus
I6437,MCZ,A136806,Anura,Arthroleptidae,Trichobatrachus,robustus
I13520,REF,AscMon,Anura,Ascaphidae,Ascaphus,montanus
I4377,MVZ,164828,Anura,Batrachylidae,Batrachyla,taeniata
I8555,CAS,242112,Anura,Bombinatoridae,Bombina,microdeladigitora
I8556,KZ,CFBHT55,Anura,Brachycephalidae,Brachycephalus,ephippium
I4432,AMCC,105557,Anura,Brevicipitidae,Breviceps,macrops
I4382,MCZ,138534,Anura,Brevicipitidae,Callulina,kisiwamsitu
I6474,CAS,168560,Anura,Brevicipitidae,Probreviceps,macrodactylus
I4383,ECM,4908,Anura,Bufonidae,Anaxyrus,terrestris
I4429,YPM,13738,Anura,Bufonidae,Ansonia,longidigita
I4430,YPM,13728,Anura,Bufonidae,Atelopus,hoogmoedi
I4433,AMCC,105533,Anura,Bufonidae,Capensibufo,rosei
I6464,MVZ,239399,Anura,Bufonidae,Leptophryne,borbonica
I12500,PMH,,Anura,Bufonidae,Melanophryniscus,stelzneri
I6481,MCZ,A139634,Anura,Bufonidae,Nectophryne,batesii
I7581,ESP/CJR,R690,Anura,Bufonidae,Poyntonophrynus,dombensis
I6467,MVZ,231697,Anura,Bufonidae,Rhinella,macrorhina
I8576,LSUMNS,15190,Anura,Bufonidae,Rhinella,marinus
I4384,PMH,1,Anura,Calyptocephalellidae,Calyptocephalella,gayi
I8557,LSUMNS,16979,Anura,Centrolenidae,Centrolene,prosoblepon
I8558,LSUMNS,17409,Anura,Centrolenidae,Cochranella,adenocheira
I4386,AMCC,118359,Anura,Centrolenidae,Hyalinobatrachium,fleischmanni
I6418,AMCC,125415,Anura,Ceratobatrachidae,Cornufer,bufoniformis
I6472,CPM,2014,Anura,Ceratobatrachidae,Cornufer,guentheri
I4431,AMCC,125449,Anura,Ceratobatrachidae,Cornufer,vertebralis
I4387,CAS,237845,Anura,Ceratobatrachidae,Platymantis,pelewensis
I4388,MVZ,247561,Anura,Ceratophryidae,Ceratophrys,cornuta
I4434,AMCC,125581,Anura,Ceratophryidae,Chacophrys,pierottii
I4441,YPM,13120,Anura,Ceratophryidae,Lepidobatrachus,laevis
I4195,SBH,268267,Anura,Ceuthomantidae,Ceuthomantis,smaragdinus
I4390,MVZ,253198,Anura,Conrauidae,Conraua,crassipes
I4391,USNM,534194,Anura,Craugastoridae,Craugastor,noblei
I4371,KZ,Cab381,Anura,Cycloramphidae,Cycloramphus,boraceiensis
I8559,LSUMNS,16955,Anura,Dendrobatidae,Allobates,caeruleodactylus
I8563,LSUMNS,13667,Anura,Dendrobatidae,Allobates,femoralis
I12044,QCAZ,44783,Anura,Dendrobatidae,Allobates,insperatus
I6449,ITF,2014,Anura,Dendrobatidae,Dendrobates,leucomelas
I4393,CAS,231821,Anura,Dendrobatidae,Mannophryne,trinitatis
I4446,YPM,13066,Anura,Dendrobatidae,Phyllobates,vittatus
I6450,CAS,243255,Anura,Dicroglossidae,Euphlyctis,cyanophlyctis
I8573,LSUMNS,255,Anura,Dicroglossidae,Fejervarya,limnocharis
I6452,CAS,241469,Anura,Dicroglossidae,Hoplobatrachus,rugulosus
I4410,CAS,220433,Anura,Dicroglossidae,Ingerana,borealis
I4394,CAS,221360,Anura,Dicroglossidae,Limnonectes,kuhlii
I7668,ESP/CJR,R057,Anura,Dicroglossidae,Limnonectes,limborgi
I8219,ESP/CJR,R180,Anura,Dicroglossidae,Nanorana,yunnanensis
I6424,AMCC,106520,Anura,Dicroglossidae,Nanorana,delacouri
I6465,MVZ,231208,Anura,Dicroglossidae,Nanorana,pleskei
I4395,CAS,239527,Anura,Dicroglossidae,Occidozyga,lima
I6417,AMCC,144942,Anura,Dicroglossidae,Quasipaa,verrucospinosa
I4398,EMO,1,Anura,Eleutherodactylidae,Eleutherodactylus,coqui
I8578,LSUMNS,21241,Anura,Eleutherodactylidae,Eleutherodactylus,cystignathoides
I4399,SANBI,1954,Anura,Heleophrynidae,Heleophryne,purcelli
I4400,BPN,1286,Anura,Hemiphractidae,Stefania,evansi
I8225,ESP/CJR,R012,Anura,Hemisotidae,Hemisus,guineensis
I4401,MVZ,249304,Anura,Hemisotidae,Hemisus,marmoratus
I8560,CHUNB,64717,Anura,Hylidae,Corythomantis,greeningi
I4157,QCAZ,48552,Anura,Hylidae,Cruziohyla,calcarifer
I6462,MVZ,264263,Anura,Hylidae,Dendropsophus,microcephalus
I4160,QCAZ,51852,Anura,Hylidae,Hyloscirtus,palmeri
I4439,YPM,10666,Anura,Hylidae,Boana,xerophylla
I8568,PMH,Litoria2014,Anura,Hylidae,Litoria,caerulea
I8569,LSUMNS,9884,Anura,Hylidae,Litoria,thesaurensis
I4169,QCAZ,53552,Anura,Hylidae,Nyctimantis,rugiceps
I6482,MCZ,A148702,Anura,Hylidae,Osteopilus,dominicensis
I4158,QCAZ,48818,Anura,Hylidae,Phyllomedusa,vaillantii
I6431,AMCC,117944,Anura,Hylidae,Plectrohyla,matudai
I13521,REF,PseFer,Anura,Hylidae,Pseudacris,feriarum
I13522,REF,PseNig,Anura,Hylidae,Pseudacris,nigrita
I8572,LSUMNS,12511,Anura,Hylidae,Pseudis,paradoxa
I6468,MVZ,257781,Anura,Hylidae,Scinax,staufferi
I4447,YPM,14191,Anura,Hylidae,Smilisca,fodiens
I6442,CAS,245062,Anura,Hylidae,Sphaenorhynchus,lacteus
I6471,MVZ,247548,Anura,Hylidae,Trachycephalus,coriaceus
I6427,AMCC,125603,Anura,Hylidae,Triprion,petasatus
I4411,KZ,1713,Anura,Hylodidae,Hylodes,phyllodes
I6475,MCZ,A139760,Anura,Hyperoliidae,Afrixalus,fulvovittatus
I4428,AMCC,125880,Anura,Hyperoliidae,Alexteroon,obstetricans
I7701,ESP/CJR,R1139,Anura,Hyperoliidae,Cryptothylax,greshoffi
I7704,ESP/CJR,R1129,Anura,Hyperoliidae,Heterixalus,luteostriatus
I4403,MCZ,136920,Anura,Hyperoliidae,Hyperolius,guttulatus
I7707,ESP/CJR,R843,Anura,Hyperoliidae,Kassina,senegalensis
I7708,ESP/CJR,R1195,Anura,Hyperoliidae,Opisthothylax,immaculatus
I6457,AMCC,124754,Anura,Hyperoliidae,Phlyctimantis,leonardi
I7713,ESP/CJR,R838,Anura,Hyperoliidae,Semnodactylus,wealii
I4448,DMG,5134,Anura,Leiopelmatidae,Leiopelma,hochstetteri
I4405,CAS,245125,Anura,Leptodactylidae,Leptodactylus,fuscus
I8567,LSUMNS,15432,Anura,Leptodactylidae,Lithodytes,lineatus
I6441,MVZ,264270,Anura,Leptodactylidae,Physalaemus,pustulosus
I4406,MVZ,231766,Anura,Leptodactylidae,Pleurodema,bibroni
I6422,MVZ,238723,Anura,Mantellidae,Aglyptodactylus,madagascariensis
