"Order","Family","Species","Diploid.number","Fundamental.number"
"Anura","Allophrynidae","Allophryne ruthveni",20,40
"Anura","Alsodidae","Alsodes aff vittatus",26,52
"Anura","Alsodidae","Alsodes barrioi",34,56
"Anura","Alsodidae","Alsodes coppingeri",26,52
"Anura","Alsodidae","Alsodes gargola",26,52
"Anura","Alsodidae","Alsodes hugoi",26,NA
"Anura","Alsodidae","Alsodes igneus",26,NA
"Anura","Alsodidae","Alsodes montanus",26,52
"Anura","Alsodidae","Alsodes monticola",26,52
"Anura","Alsodidae","Alsodes neuquensis",26,NA
"Anura","Alsodidae","Alsodes nodosus",22,44
"Anura","Alsodidae","Alsodes norae",30,52
"Anura","Alsodidae","Alsodes pehuenche",26,52
"Anura","Alsodidae","Alsodes tumultuosus",26,52
"Anura","Alsodidae","Alsodes vanzolinii",26,50
"Anura","Alsodidae","Alsodes vanzolinii",26,52
"Anura","Alsodidae","Alsodes verrucosus",26,52
"Anura","Alsodidae","Alsodes vittatus",28,NA
"Anura","Alsodidae","Eupsophus calcaratus",30,46
"Anura","Alsodidae","Eupsophus emiliopugini",28,56
"Anura","Alsodidae","Eupsophus insularis",30,44
"Anura","Alsodidae","Eupsophus migueli",30,44
"Anura","Alsodidae","Eupsophus roseus",30,44
"Anura","Alsodidae","Eupsophus roseus",30,46
"Anura","Alsodidae","Eupsophus roseus",30,44
"Anura","Alsodidae","Eupsophus vertebralis",42,56
"Anura","Alsodidae","Limnomedusa macroglossa",26,NA
"Anura","Alytidae","Alytes cisternasii",38,50
"Anura","Alytidae","Alytes muletensis",38,60
"Anura","Alytidae","Alytes obstetricans",38,NA
"Anura","Alytidae","Discoglossus galganoi galganoi",28,56
"Anura","Alytidae","Discoglossus jeanneae",28,56
"Anura","Alytidae","Discoglossus montalentii",28,56
"Anura","Alytidae","Discoglossus pictus",28,54
"Anura","Alytidae","Discoglossus pictus auritus",28,NA
"Anura","Alytidae","Discoglossus pictus pictus",28,56
"Anura","Alytidae","Discoglossus sardus",28,56
"Anura","Aromobatidae","Allobates brunneus",24,46
"Anura","Aromobatidae","Allobates caeruleodactylus",22,NA
"Anura","Aromobatidae","Allobates chalcopis",22,44
"Anura","Aromobatidae","Allobates femoralis",24,48
"Anura","Aromobatidae","Allobates marchesianus",22,NA
"Anura","Aromobatidae","Allobates nidicola",22,44
"Anura","Aromobatidae","Allobates olfersioides",24,48
"Anura","Aromobatidae","Allobates talamancae",24,48
"Anura","Aromobatidae","Anomaloglossus stepheni",24,46
"Anura","Aromobatidae","Aromobates leopardalis",24,48
"Anura","Aromobatidae","Mannophryne herminae",24,48
"Anura","Aromobatidae","Mannophryne neblina",24,48
"Anura","Aromobatidae","Mannophryne olmonae",24,48
"Anura","Aromobatidae","Mannophryne trinitatis",24,48
"Anura","Aromobatidae","Mannophryne trinitatis",24,NA
"Anura","Aromobatidae","Rheobates palmatus",24,48
"Anura","Arthroleptidae","Arthroleptis adolfifriederici",14,NA
"Anura","Arthroleptidae","Arthroleptis poecilonotus",14,28
"Anura","Arthroleptidae","Arthroleptis sp",14,28
"Anura","Arthroleptidae","Arthroleptis stenodactylus",14,28
"Anura","Arthroleptidae","Astylosternus diadematus",54,68
"Anura","Arthroleptidae","Cardioglossa gracilis",16,32
"Anura","Arthroleptidae","Cardioglossa leucomystax",18,32
"Anura","Arthroleptidae","Leptopelis aubryi",22,44
"Anura","Arthroleptidae","Leptopelis bocagii",22,44
"Anura","Arthroleptidae","Leptopelis boulengeri",22,44
"Anura","Arthroleptidae","Leptopelis calcaratus",24,46
"Anura","Arthroleptidae","Leptopelis concolor",24,NA
"Anura","Arthroleptidae","Leptopelis gramineus",24,48
"Anura","Arthroleptidae","Leptopelis palmatus",24,46
"Anura","Arthroleptidae","Leptopelis parkeri",30,40
"Anura","Arthroleptidae","Leptopelis vermiculatus",24,46
"Anura","Arthroleptidae","Leptopelis viridis",24,44
"Anura","Arthroleptidae","Leptopelis viridis",22,44
"Anura","Arthroleptidae","Nyctibates corrugatus",28,56
"Anura","Ascaphidae","Ascaphus truei",44,NA
"Anura","Ascaphidae","Ascaphus truei",46,56
