generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,3,4,1
3000,1,3,0
4000,1,4,1
5000,1,4,1
6000,1,2,1
7000,3,4,1
8000,1,4,0
9000,2,4,1
10000,2,3,1
11000,1,4,1
12000,3,4,1
13000,2,3,1
14000,3,4,1
15000,3,4,1
16000,1,3,1
17000,1,4,1
18000,1,3,1
19000,2,4,1
20000,1,2,1
21000,3,4,1
22000,1,2,1
23000,2,4,1
24000,3,4,1
25000,3,4,1
26000,1,2,1
27000,2,4,0
28000,2,3,1
29000,2,3,1
30000,1,2,1
31000,1,4,1
32000,1,4,0
33000,3,4,1
34000,1,4,1
35000,1,4,1
36000,1,2,1
37000,1,4,1
38000,2,3,1
39000,1,2,1
40000,3,4,1
