generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,3,4,1
3000,3,4,1
4000,1,4,1
5000,2,4,1
6000,1,2,1
7000,3,4,0
8000,2,3,0
9000,1,2,1
10000,2,3,1
11000,1,3,0
12000,1,2,1
13000,1,3,0
14000,2,3,1
15000,1,4,0
16000,1,2,0
17000,2,3,1
18000,1,2,1
19000,2,4,0
20000,3,4,1
21000,1,2,1
22000,1,3,0
23000,1,4,1
24000,3,4,1
25000,2,3,1
26000,2,3,1
27000,1,4,1
28000,1,4,1
29000,1,3,1
30000,1,2,1
31000,1,2,1
32000,2,4,0
33000,2,4,0
34000,3,4,0
35000,3,4,0
36000,2,3,1
37000,1,3,1
38000,3,4,1
39000,1,4,1
40000,1,4,0
