generation,leftchild,rightchild,abstime,betainit,betashift
0,Buergeria_oxycephala,Dermophis_mexicanus,0,0.5,0
1000,Buergeria_oxycephala,Dermophis_mexicanus,0,0.709823,9.00182
1000,Buergeria_oxycephala,Rhinella_marina,0.15677,14.1552,-2.48506
2000,Buergeria_oxycephala,Dermophis_mexicanus,0,1.59739,4.68211
2000,Buergeria_oxycephala,Rhinella_marina,0.155412,11.8855,-5.96638
2000,Desmognathus_fuscus,NA,0.278909,7.37876,5.57506
3000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.01693,1.34162
3000,Buergeria_oxycephala,Rhinella_marina,0.158715,7.8873,-5.05586
3000,Discoglossus_pictus,NA,0.208479,6.32947,-3.86029
4000,Buergeria_oxycephala,Dermophis_mexicanus,0,4.31368,-0.955908
4000,Ambystoma_talpoideum,NA,0.284271,8.11802,3.17048
4000,Limnodynastes_dumerilii,Neobatrachus_sudelli,0.242641,16.6646,2.18824
4000,Rhinella_marina,Crinia_signifera,0.166419,11.7794,-1.94008
4000,Lissotriton_vulgaris,NA,0.283044,24.516,3.29912
4000,Salamandrella_keyserlingii,NA,0.181297,2.53523,1.87741
5000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.77393,3.61436
6000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.57381,3.3452
7000,Buergeria_oxycephala,Dermophis_mexicanus,0,1.70817,11.7437
8000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.22014,2.27388
9000,Buergeria_oxycephala,Dermophis_mexicanus,0,3.48754,0.736294
9000,Dendropsophus_microcephalus,NA,0.290853,14.6865,2.37109
10000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.61902,2.78373
10000,Pseudis_paradoxa,NA,0.27408,5.12426,4.96363
11000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.99839,2.59637
11000,Rhinophrynus_dorsalis,NA,0.24077,18.0353,-3.56611
12000,Buergeria_oxycephala,Dermophis_mexicanus,0,1.89862,4.15424
12000,Dermatonotus_muelleri,NA,0.279788,43.0978,-0.403244
13000,Buergeria_oxycephala,Dermophis_mexicanus,0,1.76583,3.81085
14000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.17525,1.0404
15000,Buergeria_oxycephala,Dermophis_mexicanus,0,1.73715,3.55845
15000,Gastrophryne_carolinensis,Dermatonotus_muelleri,0.247688,7.17556,6.29524
15000,Rhyacotriton_olympicus,NA,0.270217,19.1329,0.41095
15000,Boulengerula_taitana,NA,0.272336,3.20626,-4.43632
15000,Dermophis_mexicanus,Boulengerula_taitana,0.184139,17.1031,-7.6647
16000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.73615,2.25231
16000,Salamandrella_keyserlingii,NA,0.255372,9.25874,2.592
17000,Buergeria_oxycephala,Dermophis_mexicanus,0,3.42468,0.95452
18000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.35873,7.1547
19000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.53454,3.47407
20000,Buergeria_oxycephala,Dermophis_mexicanus,0,6.18432,-3.30194
21000,Buergeria_oxycephala,Dermophis_mexicanus,0,11.3812,-3.55095
22000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.39967,7.19996
22000,Gastrophryne_carolinensis,Dermatonotus_muelleri,0.265569,27.3357,-3.58874
23000,Buergeria_oxycephala,Dermophis_mexicanus,0,1.80832,8.07269
24000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.81447,5.73599
24000,Pleurodema_bibroni,NA,0.24724,36.3161,-6.4641
25000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.23824,1.23952
26000,Buergeria_oxycephala,Dermophis_mexicanus,0,14.3167,-4.98943
26000,Hemisus_marmoratus,NA,0.283493,98.1643,3.91382
27000,Buergeria_oxycephala,Dermophis_mexicanus,0,13.994,-5.5129
28000,Buergeria_oxycephala,Dermophis_mexicanus,0,12.2506,-6.42392
29000,Buergeria_oxycephala,Dermophis_mexicanus,0,6.80135,-2.82968
30000,Buergeria_oxycephala,Dermophis_mexicanus,0,3.71169,-0.838588
30000,Cardioglossa_leucomystax,NA,0.287995,3.96098,2.49293
31000,Buergeria_oxycephala,Dermophis_mexicanus,0,3.53129,-0.494145
31000,Neobatrachus_sudelli,NA,0.284525,15.2306,-0.318505
31000,Discoglossus_pictus,NA,0.191738,10.0632,3.97937
32000,Buergeria_oxycephala,Dermophis_mexicanus,0,4.52315,-1.08979
33000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.58352,0.997402
34000,Buergeria_oxycephala,Dermophis_mexicanus,0,6.38707,-3.14803
35000,Buergeria_oxycephala,Dermophis_mexicanus,0,2.53389,1.46454
35000,Scaphiopus_couchii,NA,0.264377,9.15212,-1.79494
36000,Buergeria_oxycephala,Dermophis_mexicanus,0,4.29822,-0.032872
37000,Buergeria_oxycephala,Dermophis_mexicanus,0,5.97166,-2.51525
37000,Crinia_signifera,NA,0.286664,16.4894,5.9171
37000,Siren_intermedia,NA,0.176105,59.4358,-6.06596
38000,Buergeria_oxycephala,Dermophis_mexicanus,0,7.75442,-3.18676
39000,Buergeria_oxycephala,Dermophis_mexicanus,0,5.5902,-1.65457
