generation,leftchild,rightchild,abstime,betainit,betashift
0,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.5,0
1000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.331072,0
1000,Cryptobranchus_alleganiensis,Andrias_japonicus,173.207,0.00279123,0.00302209
1000,Cryptobranchus_alleganiensis,Andrias_japonicus,220.528,0.0251443,0.00414898
1000,Hemidactylium_scutatum,Pseudotriton_ruber,181.73,0.0130059,-0.00161701
1000,Pipa_pipa,NA,159.62,0.00234383,0.00360101
1000,Crinia_signifera,Pseudophryne_bibronii,182.336,0.0157826,0.00121085
2000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.187754,0
2000,Cryptobranchus_alleganiensis,Andrias_japonicus,112.534,0.0037659,0.00282005
2000,Cryptobranchus_alleganiensis,Andrias_japonicus,217.062,0.0189144,0.00414898
2000,Necturus_lewisi,Necturus_punctatus,170.606,0.00964077,0.0031303
2000,Necturus_lewisi,Necturus_punctatus,205.449,0.00683235,0.00439574
2000,Aneides_hardii,Aneides_lugubris,235.81,0.00225753,0.000641341
2000,Desmognathus_marmoratus,NA,258.268,0.00475435,0.00182611
2000,Hemidactylium_scutatum,NA,196.803,0.00711414,0.00203509
2000,Pseudotriton_ruber,NA,261.971,0.00354739,-0.00121109
2000,Hemidactylium_scutatum,Pseudotriton_ruber,179.541,0.0134804,-0.00161701
2000,Cardioglossa_leucomystax,Arthroleptis_stenodactylus,215.838,0.00706822,0.00100739
2000,Crinia_signifera,Pseudophryne_bibronii,198.939,0.0163443,0.00121085
2000,Eleutherodactylus_richmondi,NA,235.505,0.0180882,0.000247664
2000,Adenomera_hylaedactyla,NA,226.579,0.00497644,0.00567111
3000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.0793885,0
3000,Necturus_lewisi,Necturus_punctatus,205.449,0.00567952,0.00439574
3000,Aneides_hardii,Aneides_lugubris,235.81,0.00106603,0.000641341
3000,Desmognathus_marmoratus,NA,256.873,0.00484801,0.00182611
3000,Triturus_carnifex,NA,268.698,0.00223012,-0.00121109
3000,Pseudotriton_ruber,Eurycea_lucifuga,206.886,0.00715768,-0.0017897
3000,Dendrotriton_bromeliacius,NA,261.877,0.00486761,-0.00666735
3000,Hemidactylium_scutatum,Pseudotriton_ruber,181.176,0.0100481,-0.00161701
3000,Bombina_orientalis,Bombina_variegata,200.897,0.0180882,0.000247664
3000,Hymenochirus_boettgeri,NA,209.064,0.00387986,-0.00199631
3000,Arthroleptis_stenodactylus,NA,217.728,0.00540057,0.00100739
3000,Laliostoma_labrosum,NA,267.129,0.0100769,-0.00397994
4000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.0528321,0
4000,Salamandrina_terdigitata,NA,245.166,0.00714257,-0.00613973
4000,Aneides_hardii,Aneides_lugubris,236.866,0.00287746,0.000641341
4000,Dendrotriton_bromeliacius,NA,268.026,0.00604911,-0.00666735
4000,Pseudotriton_ruber,Batrachoseps_attenuatus,184.376,0.00926916,-0.00161701
4000,Xenopus_laevis,NA,264.68,0.00444378,0.00206797
4000,Sooglossus_sechellensis,NA,215.052,0.00849799,-0.000281036
4000,Andrias_japonicus,NA,267.323,0.00882762,-0.00101358
4000,Kassina_senegalensis,Afrixalus_fornasini,191.942,0.0219494,0.000913997
4000,Hyla_meridionalis,Hyla_arborea,223.277,0.000128539,0.00395288
5000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.0381477,0
5000,Aneides_aeneus,Aneides_hardii,230.709,0.00155064,0.000641341
5000,Hemidactylium_scutatum,Pseudotriton_ruber,180.6,0.0111141,-0.00161701
5000,Leiopelma_hochstetteri,Leiopelma_archeyi,69.0246,0.00573016,0.00232975
5000,Dermatonotus_muelleri,Gastrophryne_carolinensis,224.324,0.00764091,0.00166621
5000,Rana_tagoi,NA,257.134,0.00378415,0.0014502
6000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.0493747,0
6000,Cryptobranchus_alleganiensis,Andrias_japonicus,155.77,0.00876895,0.00418823
6000,Onychodactylus_fischeri,NA,257.982,0.0219271,-0.00162768
6000,Proteus_anguinus,NA,167.255,0.0187446,0.00148476
6000,Aneides_aeneus,Aneides_hardii,227.827,0.000903408,0.000641341
6000,Hemidactylium_scutatum,Pseudotriton_ruber,181.09,0.011375,-0.00161701
6000,Leiopelma_hochstetteri,Leiopelma_archeyi,76.7361,0.00639478,0.00232975
6000,Spea_bombifrons,Spea_hammondii,253.416,0.0111192,0.00211037
6000,Astylosternus_diadematus,Cardioglossa_leucomystax,187.283,0.0132845,0.00270248
6000,Rana_tagoi,NA,263.153,0.0049986,0.0014502
6000,Crinia_signifera,NA,230.512,0.0024913,0.00875096
6000,Eleutherodactylus_antillensis,NA,241.368,0.0158879,0.00184775
6000,Allobates_femoralis,NA,259.281,0.00739689,0.00321917
7000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.0493747,0
7000,Onychodactylus_fischeri,NA,259.608,0.0163688,-0.00162768
7000,Aneides_aeneus,Aneides_hardii,226.287,0.00108647,0.000641341
7000,Eurycea_lucifuga,NA,263.899,0.0052578,0.00480392
7000,Batrachoseps_attenuatus,NA,270.745,0.00619234,0.00303092
7000,Oedipina_poelzi,NA,259.876,0.0206718,0.0033189
7000,Hemidactylium_scutatum,Pseudotriton_ruber,181.09,0.00656779,-0.00161701
7000,Leiopelma_hochstetteri,Leiopelma_archeyi,77.8592,0.0063212,0.00232975
7000,Discoglossus_pictus,Discoglossus_jeanneae,240.454,0.0294733,-0.00298302
7000,Astylosternus_diadematus,Cardioglossa_leucomystax,188.151,0.0132845,0.00270248
7000,Eleutherodactylus_antillensis,NA,250.642,0.0116934,0.00184775
7000,Pseudis_paradoxa,Dendropsophus_nanus,206.977,0.0147422,0.00445649
7000,Allobates_femoralis,NA,259.281,0.00403009,0.00321917
8000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.0240656,0
8000,Hypogeophis_rostratus,NA,230.288,0.000205042,-0.00243088
8000,Pseudobranchus_striatus,Siren_intermedia,161.587,0.0110206,0.00186798
8000,Aneides_aeneus,Aneides_hardii,222.517,0.00136465,0.000641341
8000,Hemidactylium_scutatum,Pseudotriton_ruber,179.169,0.00546595,-0.00161701
8000,Alytes_cisternasii,Alytes_obstetricans,220.567,0.0281743,-0.000573891
8000,Pyxicephalus_adspersus,NA,263.538,0.00908767,-0.006889
8000,Batrachoseps_attenuatus,NA,264.777,0.00578092,0.00303092
8000,Kassina_senegalensis,NA,248.375,0.00965199,-0.00275079
8000,Pseudis_paradoxa,Dendropsophus_nanus,208.989,0.0147422,0.00445649
8000,Allophryne_ruthveni,NA,262.978,0.000968025,0.00133852
9000,Boulengerula_taitana,Cryptobranchus_alleganiensis,0,0.013036,0
9000,Boulengerula_taitana,Chthonerpeton_indistinctum,170.073,0.0112904,-0.000870691
9000,Proteus_anguinus,NA,204.611,0.0390181,-0.00100548
9000,Necturus_lewisi,Necturus_punctatus,227.757,0.00776933,-0.006889
9000,Ensatina_eschscholtzii,NA,227.47,0.00340052,0.00174893
9000,Karsenia_koreana,Aneides_aeneus,219.223,0.000526876,0.000641341
9000,Hemidactylium_scutatum,Pseudotriton_ruber,182.253,0.00332221,-0.00161701
9000,Rana_tagoi,Rana_tsushimensis,238.972,0.00805955,0.0016307
9000,Mantidactylus_betsileanus,NA,265.215,0.00925433,-0.00283019
9000,Cardioglossa_leucomystax,NA,256.174,0.00288485,-0.00461913
