generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-6.13025,-808.284,1,0
100,2,-23.52,-271.162,0.192382,0.22
200,2,-20.5983,-240.104,0.479194,0.255
300,2,-20.0784,-177.402,0.479194,0.246667
400,2,-19.4322,-111.686,0.83227,0.2475
500,1,-13.0351,-78.1379,0.83227,0.242
600,1,-14.134,-59.2307,1.6099,0.236667
700,2,-20.7624,-56.812,1.6099,0.231429
800,2,-21.5802,-49.703,1.36806,0.2325
900,3,-29.6231,-48.1111,1.36806,0.236667
1000,1,-14.4921,-47.2076,0.542926,0.239
1100,1,-14.2288,-30.7821,1.08481,0.22
1200,2,-20.2959,-34.5176,1.08481,0.245
1300,1,-14.1029,-29.0246,1.10549,0.26
1400,3,-27.6139,-37.3785,2.39281,0.265
1500,3,-29.1168,-34.2405,3.46019,0.27
1600,2,-22.2685,-33.2169,2.59368,0.26
1700,2,-20.6573,-37.1136,0.417189,0.261429
1800,1,-13.9296,-35.6028,0.479764,0.25875
1900,2,-20.2301,-29.9319,1.40166,0.256667
2000,2,-20.0543,-33.3345,0.601396,0.261
2100,2,-23.0454,-31.5786,1.62793,0.23
2200,2,-22.6696,-31.1438,1.62793,0.255
2300,2,-21.6256,-32.8282,1.62793,0.286667
2400,2,-21.5391,-36.0798,1.62793,0.275
2500,2,-20.2779,-36.1241,1.62793,0.288
2600,1,-13.5111,-28.4783,1.05107,0.283333
2700,1,-12.7808,-25.6641,0.887814,0.28
2800,1,-12.5903,-24.0065,0.747763,0.2825
2900,1,-12.2438,-25.2439,0.491464,0.28
3000,2,-20.2048,-26.0717,2.54855,0.275
3100,3,-26.1567,-28.5744,2.45911,0.24
3200,2,-18.4813,-28.4499,0.878625,0.225
3300,3,-27.4773,-27.5229,2.82407,0.233333
3400,1,-14.5051,-28.0954,2.82407,0.2425
3500,2,-21.3501,-31.5556,0.900299,0.246
3600,0,-6.48543,-43.5809,1.03097,0.266667
3700,2,-17.7246,-38.1126,0.321652,0.264286
3800,1,-11.6413,-41.3839,0.321652,0.2625
3900,1,-11.284,-42.8334,0.511081,0.274444
4000,5,-40.2159,-38.5503,4.44975,0.268683
4100,5,-40.0829,-36.6154,3.97274,0.32
4200,4,-31.5753,-42.2303,2.72881,0.3
4300,4,-32.4342,-46.4085,0.893649,0.303333
4400,2,-19.8809,-51.0589,2.61352,0.315
4500,1,-12.2518,-50.6932,0.428991,0.31
4600,1,-11.784,-45.0766,0.183526,0.305
4700,1,-11.6752,-43.1885,0.299752,0.308571
4800,1,-12.5443,-43.0165,1.09548,0.3075
4900,2,-19.9841,-37.6091,2.98199,0.312222
5000,0,-6.36268,-29.5987,0.668128,0.277
5100,0,-5.58165,-34.9087,0.167254,0.26
5200,0,-5.85876,-33.0287,0.519122,0.255
5300,0,-5.93192,-31.4954,0.578762,0.24
5400,0,-7.23575,-36.4756,1.64832,0.245
5500,1,-14.3481,-31.5565,0.90248,0.252
5600,0,-7.93188,-36.0598,1.22527,0.261667
5700,0,-7.78129,-41.6285,1.09502,0.26
5800,0,-5.59384,-41.9021,0.0553975,0.25125
5900,0,-5.61747,-38.3336,0.0202464,0.247778
6000,0,-5.75677,-17.1788,0.135619,0.251291
6100,0,-6.21806,-13.9455,0.484458,0.2
6200,0,-6.59449,-16.1952,0.484458,0.215
6300,0,-6.68844,-12.9505,0.484458,0.216667
6400,1,-12.0385,-14.2798,0.0860818,0.24
6500,0,-6.98033,-20.4453,0.0353615,0.25
6600,0,-8.29713,-16.4973,0.121126,0.243333
6700,1,-15.7469,-15.3109,0.825673,0.234286
6800,1,-15.8336,-12.635,0.814893,0.24125
6900,0,-11.9775,-12.3151,1.96873,0.244444
7000,0,-9.86575,-12.3198,0.137378,0.247
7100,1,-16.4123,-22.7599,0.317057,0.22
7200,1,-19.2473,-21.6925,1.24794,0.255
7300,0,-8.21381,-26.0322,0.213798,0.263333
7400,0,-8.1377,-22.6176,0.325219,0.245
7500,0,-8.97687,-24.5411,0.847308,0.244
7600,1,-14.3154,-25.7296,0.357144,0.243333
7700,0,-7.01346,-25.3142,0.357144,0.228571
7800,0,-7.1853,-26.7235,0.92962,0.2275
7900,0,-6.52618,-23.9881,0.499919,0.224444
8000,0,-5.61023,-26.057,0.207725,0.223
8100,1,-13.8447,-26.0509,1.19417,0.26
8200,1,-15.4911,-25.0306,1.80115,0.26
8300,3,-27.7369,-23.3428,1.80115,0.25
8400,2,-24.1673,-22.7656,3.78585,0.2525
8500,3,-27.0814,-22.5755,1.29135,0.274
8600,0,-6.83222,-21.7779,1.29135,0.261667
8700,0,-5.87477,-18.855,0.51631,0.252857
8800,0,-5.85188,-16.4553,0.442968,0.24875
8900,0,-5.56012,-19.4554,0.233939,0.247778
9000,1,-12.5368,-17.8717,1.05004,0.24
9100,0,-5.75031,-19.5662,0.456813,0.27
9200,0,-6.64139,-18.5767,1.36782,0.28
9300,1,-12.4837,-21.9724,0.555364,0.256667
9400,0,-5.45678,-20.6081,0.15417,0.2425
9500,1,-12.7254,-25.2606,1.70111,0.244
