generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-38.0436,-1060.5,1,1
100,1,-21.0818,-916.263,0.802717,0.75
200,2,-12.1138,-918.806,0.954963,0.715
300,2,-8.98489,-912.134,0.758648,0.696667
400,2,-9.02779,-920.916,0.758648,0.7075
500,2,-10.0461,-928.377,1.82149,0.702
600,3,-1.28589,-935.608,1.82149,0.686667
700,7,30.3855,-919.077,2.95292,0.688571
800,7,24.6162,-911.32,5.99243,0.69125
900,5,11.4674,-909.672,6.27017,0.695556
1000,5,13.7109,-900.013,3.50574,0.705295
1100,6,22.9056,-900.348,3.50574,0.6
1200,5,13.7194,-901.822,2.82243,0.635
1300,4,5.23446,-899.044,2.82243,0.633333
1400,6,18.6634,-897.92,3.99788,0.6325
1500,6,18.8894,-905.126,3.99788,0.634
1600,8,39.0374,-892.214,3.40869,0.643333
1700,10,47.1376,-888.819,10.4025,0.634286
1800,12,65.3382,-889.199,10.4025,0.63625
1900,11,74.9651,-833.195,4.47868,0.64
2000,13,91.5668,-815.538,4.47868,0.64
2100,12,89.6904,-782.399,4.47868,0.47
2200,11,81.5431,-763.728,4.35456,0.515
2300,10,78.2243,-748.906,4.35456,0.53
2400,11,82.4268,-737.635,6.28162,0.5425
2500,11,85.2258,-729.843,5.75062,0.538
2600,11,84.9063,-708.99,5.75062,0.531667
2700,12,87.0127,-681.349,8.8064,0.518571
2800,13,100.462,-668.854,3.75909,0.5275
2900,13,101.701,-657.301,3.75909,0.513333
3000,11,88.2993,-662.947,3.75909,0.513
3100,11,85.2593,-664.766,3.75909,0.53
3200,11,84.5006,-641.101,4.82631,0.54
3300,14,107.485,-629.592,4.82631,0.546667
3400,14,108.254,-621.864,4.82631,0.5325
3500,14,101.991,-626.291,11.0598,0.556
3600,15,110.401,-624.759,11.0598,0.551667
3700,17,123.038,-620.58,11.0598,0.551429
3800,15,105.315,-621.588,11.0598,0.54625
3900,13,92.4219,-615.78,11.0598,0.543333
4000,9,73.5478,-606.316,2.89778,0.6045
4100,8,62.6863,-600.259,5.9092,0.52
4200,7,57.0711,-599.894,4.64834,0.57
4300,4,31.1858,-594.674,4.25266,0.563333
4400,4,35.8808,-584.146,3.04815,0.5525
4500,3,28.1268,-575.776,2.18626,0.536
4600,2,18.1351,-569.236,3.0801,0.531667
4700,2,20.1078,-559.857,0.985921,0.52
4800,2,20.0286,-553.703,0.985921,0.50875
4900,4,35.5683,-534.902,3.47232,0.51
5000,5,44.9861,-526.52,2.77303,0.502
5100,6,52.3558,-520.73,2.81725,0.39
5200,5,43.7547,-503.337,4.23801,0.45
5300,6,50.263,-480.895,5.88139,0.433333
5400,6,50.5575,-468.003,5.54401,0.405
5500,6,51.0759,-455.209,4.63012,0.382
5600,8,66.3376,-454.165,4.63012,0.393333
5700,5,44.9003,-447.175,1.45311,0.392857
5800,5,45.3567,-439.988,1.10856,0.39
5900,5,45.2213,-427.133,2.59465,0.385556
6000,12,92.1516,-531.65,6.04492,0.506333
6100,11,84.4751,-529.141,6.04492,0.48
6200,14,107.878,-527.008,6.04492,0.465
6300,17,129.846,-508.483,6.04492,0.463333
6400,12,94.3328,-514.209,6.04492,0.4475
6500,13,99.4807,-508.157,6.04492,0.45
6600,12,92.6508,-516.469,5.34097,0.445
6700,12,95.1407,-514.16,3.37403,0.448571
6800,11,85.2184,-497.5,4.77822,0.4525
6900,12,87.9826,-493.635,9.32661,0.46
7000,12,89.7179,-488.662,8.18907,0.465
7100,14,104.566,-458.447,7.80369,0.42
7200,12,88.0994,-460.032,7.80369,0.46
7300,11,79.7212,-460.205,8.73313,0.46
7400,11,84.5516,-450.649,3.53755,0.455
7500,11,87.1263,-428.287,6.66999,0.458
7600,13,99.7356,-425.813,6.45081,0.441667
7700,13,100.874,-415.363,7.53127,0.431429
7800,12,94.6236,-407.928,6.31474,0.42875
7900,11,89.8822,-399.68,6.31474,0.428889
8000,10,81.0706,-388.177,5.73323,0.424
8100,10,82.5811,-389.427,5.73323,0.38
8200,8,68.3622,-372.978,3.50323,0.375
8300,10,85.1258,-372.652,3.1145,0.386667
8400,7,60.7384,-386.115,3.1145,0.3875
8500,7,58.543,-382.055,2.99157,0.384
8600,6,51.7194,-374.68,2.99157,0.391667
8700,5,42.052,-369.515,6.21602,0.384286
8800,3,29.7276,-369.616,3.50391,0.38375
8900,3,28.8175,-355.995,3.50391,0.385556
9000,9,74.2664,-228.312,4.88755,0.3675
9100,7,60.2659,-225.157,3.76297,0.38
9200,5,46.9784,-224.657,2.51606,0.325
9300,6,46.828,-226.75,2.95206,0.296667
9400,7,54.1695,-214.667,3.32549,0.2875
9500,7,50.3976,-197.762,4.8728,0.286
9600,7,52.9328,-192.86,2.28819,0.276667
9700,6,53.1382,-193.243,2.28819,0.284286
9800,4,38.5323,-197.302,2.28819,0.27875
9900,4,37.1585,-202.304,3.36391,0.28
10000,5,45.334,-191.037,3.27441,0.281
10100,5,45.3204,-184.892,3.27441,0.28
10200,4,40.6528,-183.462,1.4041,0.285
10300,4,40.5228,-180.001,1.4041,0.256667
10400,4,40.0629,-170.093,1.79265,0.2525
10500,3,30.8624,-169.881,1.79265,0.248
10600,2,24.3269,-169.345,1.56757,0.245
10700,2,24.712,-167.113,1.18214,0.251429
10800,2,25.3145,-165.346,0.647127,0.25375
10900,2,24.5838,-160.951,1.39172,0.247778
11000,3,30.0767,-154.854,1.39172,0.248
11100,4,38.0575,-151.041,1.39172,0.24
11200,2,24.5838,-150.96,1.39172,0.235
11300,3,31.7749,-154.363,1.75959,0.26
11400,3,29.5244,-150.326,1.75959,0.2825
11500,3,31.209,-145.941,1.75959,0.272
11600,3,31.7121,-135.254,1.75959,0.27
11700,3,30.2439,-135.344,3.32016,0.255714
11800,4,37.9124,-137.616,3.32016,0.255
11900,4,37.2,-130.775,2.84324,0.257778
12000,5,47.4328,-74.458,2.66748,0.408799
12100,5,47.4573,-77.2218,2.66748,0.25
12200,5,47.3664,-82.6719,2.66748,0.215
12300,5,47.4776,-76.9964,2.66748,0.2
12400,4,37.3212,-67.9438,3.51192,0.215
12500,4,39.3389,-66.2543,2.1653,0.216
12600,2,23.8066,-63.9642,1.9427,0.216667
12700,3,32.6045,-68.3593,1.69741,0.205714
12800,2,24.0519,-67.9187,1.69741,0.19875
12900,4,37.9053,-67.7613,2.8403,0.205556
13000,3,31.8558,-65.1232,0.952644,0.207
13100,4,39.839,-67.0847,0.952644,0.26
13200,4,38.3067,-65.4443,2.1191,0.235
13300,3,30.6502,-63.7843,2.1191,0.253333
13400,3,30.838,-61.7107,3.4296,0.255
13500,6,54.0605,-59.9289,3.4296,0.254
13600,7,59.391,-57.3188,3.4296,0.271667
13700,6,53.3746,-55.9856,3.62515,0.267143
13800,4,36.6967,-52.3585,3.68177,0.2575
13900,5,44.91,-53.5509,3.68177,0.253333
14000,5,45.2225,-52.4032,3.68177,0.25
14100,4,38.5735,-47.3293,3.21704,0.28
14200,2,23.1837,-45.0423,1.88035,0.255
14300,3,29.7119,-48.8963,3.52968,0.253333
14400,2,24.0322,-49.4076,1.53339,0.24
14500,1,17.2997,-44.9483,0.0689198,0.234
14600,1,17.2761,-43.0393,0.154198,0.226667
14700,1,16.9728,-39.9583,0.452939,0.225714
14800,2,25.3501,-35.5265,0.659067,0.2275
14900,1,16.9427,-36.3877,0.446125,0.227778
15000,1,16.8742,-34.6488,0.486668,0.224
15100,1,16.5951,-38.9693,0.765856,0.21
15200,1,16.6241,-38.2473,0.765856,0.17
