"x"
"Alytes obstetricans  9.187"
"Discoglossus pictus  5.167"
"Allobates femoralis  7.110"
"Mannophryne trinitatis  2.980"
"Astylosternus diadematus  4.270"
"Cardioglossa leucomystax  3.154"
"Leptopelis vermiculatus  3.098"
"Batrachyla taeniata  2.590"
"Hemisus marmoratus  4.011"
"Pseudacris nigrita  4.050"
"Pseudis paradoxa  1.540"
"Kassina senegalensis  4.470"
"Leiopelma hochstetteri  8.630"
"Pleurodema bibroni  2.560"
"Limnodynastes dumerilii  3.250"
"Neobatrachus sudelli  2.615"
"Aglyptodactylus madagascariensis  3.050"
"Mantella betsileo  5.300"
"Mantidactylus lugubris  5.250"
"Dermatonotus muelleri  1.540"
"Gastrophryne carolinensis  4.650"
"Microhyla ornata  5.150"
"Plethodontohyla notosticta  5.050"
"Crinia signifera  2.120"
"Odontophrynus occidentalis  1.580"
"Pelobates syriacus  4.033"
"Hymenochirus boettgeri  4.025"
"Pipa pipa  2.430"
"Pyxicephalus adspersus  1.400"
"Rhinophrynus dorsalis  4.790"
"Spea hammondii  1.625"
"Sooglossus sechellensis  1.809"
"Ambystoma mexicanum  34.750"
"Ambystoma opacum  30.692"
"Ambystoma talpoideum  29.710"
"Andrias japonicus  46.490"
"Cryptobranchus alleganiensis  55.000"
"Aneides flavipunctatus  44.767"
"Desmognathus fuscus  16.166"
"Eurycea lucifuga  20.775"
"Gyrinophilus porphyriticus  20.785"
"Hemidactylium scutatum  32.450"
"Karsenia koreana  52.100"
"Nyctanolis pernix  28.000"
"Plethodon jordani  28.967"
"Pseudotriton ruber  25.035"
"Necturus maculosus  85.957"
"Proteus anguinus  49.395"
"Rhyacotriton olympicus  66.600"
"Neurergus crocatus  34.970"
"Notophthalmus viridescens  37.739"
"Paramesotriton hongkongensis  51.000"
"Salamandra salamandra  35.235"
"Salamandrina terdigitata  20.600"
"Siren intermedia  54.513"
"Dermophis mexicanus  7.895"
"Geotrypetes seraphini  5.304"
"Gymnopis multiplicata  3.700"
"Boulengerula taitana  2.940"
"Grandisonia alternans  6.404"
